,0
0,ABNB
1,ANGI
2,CARG
3,DASH
4,TWLO
5,XM
6,BIGC
7,COUP
8,FSLY
9,LYFT
10,UBER
11,U
12,SPOT
13,DOCU
14,PD
15,ASAN
16,BMBL
17,SNOW
18,BILL
19,CTSX
20,WDAY
21,SPLK
22,ZM
23,SE
24,RNG
25,NUAN
26,NOW
27,CDAY
28,DDOG
29,CRM
30,TEAM
31,INTU
32,FTCH
33,AMZN
34,ETSY
35,CHWY
36,EBAY
37,TDOC
38,DOCS
39,CERN
40,ADBE
41,AKAM
42,MQ
43,SQ
44,NTNX
45,S
46,DOCN
47,PLTR
48,SPLK
49,PANW
50,NET
51,DBX
52,PLAN
53,CRWD
54,GDDY
55,VMW
56,ZS
57,BOX
58,HUBS
59,QQQ
60,DIA
61,XLF
62,TLT
63,TWTR
64,SNAP
65,PINS
66,GOOG
67,GOOGL
68,TTD
69,APPS
70,MTCH
71,MGNI
72,GLBE
73,QQQ
74,DIA
75,XLF
76,FB
77,TLT
78,MCD
79,CAKE
80,SBUX
81,SPY
82,DIA
83,COP
84,CNQ
85,PXD
86,OXY
87,HES
88,FANG
89,CLR
90,MRO
91,APA
92,OVV
93,MTDR
94,MGY
95,MUR
96,SM
97,CPG
98,CPE
99,ERF
100,CRK
101,VET
102,BKR
103,CHX
104,FTI
105,HAL
106,LBRT
107,NOV
108,SLB
109,XOP
110,XLE
111,XLF
112,DIA
113,SPY
114,EQT
115,SWN
116,AR
117,RRC
118,CNX
119,DVN
120,EOG
121,XOP
122,UNG
123,XOM
124,CVX
125,XOP
126,XLE
127,XLF
128,DIA
129,SPY
130,AEM
131,AGI
132,CDE
133,EGO
134,EQX
135,HL
136,KGC
137,KL
138,NEM
139,PVG
140,SAND
141,SSRM
142,WPM
143,GDX
144,GLD
145,CLF
146,NUE
147,STLD
148,X
149,TECK
150,KWEB
151,XLE
152,BBL
153,CCJ
154,UUUU
155,NXE
156,URNM
157,XLE
158,FCX
159,XLE
160,CPER
161,AA
162,CENX
163,XLE
164,DBB
165,KWEB
166,VALE
167,EWZ
168,XLE
169,BBL
170,MARA
171,RIOT
172,COIN
173,MSTR
174,BITO
175,QQQ
176,JPM
177,C
178,RY
179,BNS
180,BMO
181,CLSK
182,WFC
183,TD
184,USB
185,PNC
186,CM
187,STI
188,FITB
189,MTB
190,KEY
191,FRC
192,RF
193,CFG
194,HBAN
195,SIVB
196,CMA
197,BSMX
198,ZION
199,CBSH
200,PBCT
201,SBNY
202,EWBC
203,NYCB
204,TCF
205,CFR
206,BPOP
207,WAL
208,SNV
209,FHN
210,PB
211,FFIN
212,PNFP
213,PACW
214,CIT
215,WBS
216,STL
217,UBSI
218,FNB
219,GBCI
220,IBKC
221,VLY
222,OZK
223,WTFC
224,HWC
225,FHB
226,UMPQ
227,ISBC
228,BKU
229,ASB
230,CSFL
231,HOMB
232,BXS
233,ONB
234,AUB
235,ABCB
236,CVBF
237,WAFD
238,FULT
239,TCBI
240,UCBI
241,FFBC
242,SFNC
243,FBP
244,FMBI
245,HTH
246,LTXB
247,PPBI
248,CADE
249,NWBI
250,HOPE
251,GGAL
252,BMA
253,FCF
254,VBTX
255,CASH
256,OFG
257,GS
258,MS
259,IBKR
260,TW
261,JEF
262,LAZ
263,VIRT
264,HLI
265,EVR
266,BGCP
267,MC
268,XLF
269,DIA
270,XLI
271,XLE
272,SPY
273,TLT
274,QQQ
275,ADI
276,AMKR
277,AVGO
278,LSCC
279,MCHP
280,MRVL
281,MU
282,NVDA
283,NXPI
284,ON
285,QCOM
286,QRVO
287,SWKS
288,TXN
289,XLNX
290,QQQ
291,SOXL
292,AMAT
293,KLAC
294,LRCX
295,TER
296,SOXL
297,QQQ
298,ASML
