Symbol,Valid,MainETF,SectorETF,Exch,Bid,Ask,Spread,ADV,Volume,YVolume,Financial,MarketCat
KBE,FALSE,,,ARCA,54.25,54.26,0.01,2458766,822946,1704040,,P
KC,FALSE,,,NSDQ,16.35,16.39,0.04,1536833,652201,1205291,,Q
JXN,FALSE,,,NYSE,38.5,38.55,0.05,1863027,678766,1496819,,N
JWN,TRUE,IWM,XRT,NYSE,20.95,20.97,0.02,8333079,2119372,3775714,,N
KBWB,FALSE,,,NSDQ,68.62,68.63,0.01,1821212,399126,763753,,G
JPST,FALSE,,,BATS,50.52,50.53,0.01,2620956,976885,2257955,,Z
JWACU,FALSE,,,NSDQ,10.03,10.04,0.01,1634611,1002,217656,,G
K,TRUE,IWM,XLP,NYSE,62.07,62.1,0.03,1948169,557011,1760647,,N
KAR,FALSE,,,NYSE,15.88,15.89,0.01,3163568,297117,927539,,N
KBH,,,,NYSE,44.23,44.27,0.04,1345305,237101,1045815,,N
KBR,,,,NYSE,45.51,45.54,0.03,1132545,286401,572156,,N
KD,,,,NYSE,18.76,18.79,0.03,4820344,1006662,1997707,,N
KDP,,,,NSDQ,34.96,34.97,0.01,4874220,1980154,5401067,,Q
KEY,,,,NYSE,22.98,22.99,0.01,7268333,2393403,5810627,,N
KIM,,,,NYSE,22.88,22.89,0.01,3714090,1465390,3588788,,N
KIND,,,,NYSE,9.97,10,0.03,2260797,545921,1016445,,N
KLAC,,,,NSDQ,408.08,408.38,0.3,1104279,292215,1091617,,Q
KHC,,,,NSDQ,33.7,33.71,0.01,9380847,2258709,5900888,,Q
KEYS,,,,NYSE,199.77,199.95,0.18,1173830,266923,714293,,N
KLIC,,,,NSDQ,67.67,67.73,0.06,1310831,596685,2600268,,Q
KMB,,,,NYSE,135.99,136.11,0.12,1453464,315606,935022,,N
KL,,,,NYSE,38.01,38.03,0.02,1425542,737642,1421747,,N
KGC,,,,NYSE,5.31,5.32,0.01,16710652,12754883,47900398,,N
KKR,,,,NYSE,75.62,75.73,0.11,2189258,408543,1675223,,N
KMI,,,,NYSE,15.97,15.98,0.01,15545793,5892069,12279722,,N
KNBE,,,,NSDQ,22.72,22.79,0.07,1218545,364181,465100,,Q
KNX,,,,NYSE,61.16,61.19,0.03,1378259,385678,1389297,,N
KO,,,,NYSE,55.83,55.84,0.01,16153099,7501143,13846415,,N
KRG,,,,NYSE,21.19,21.21,0.02,1577847,305578,2285610,,N
KSU,,,,NYSE,298.16,298.39,0.23,1169348,2544993,3316469,,N
KPTI,,,,NSDQ,6.03,6.04,0.01,1727130,1198482,2313955,,Q
KRE,,,,ARCA,70.02,70.03,0.01,9743356,3722629,5737387,,P
LABD,,,,ARCA,27.55,27.58,0.03,2330203,1529251,3475229,,P
KODK,,,,NYSE,5.54,5.55,0.01,1770953,845339,1578435,,N
KWEB,,,,ARCA,42.81,42.82,0.01,16591098,4711158,11333568,,P
KR,,,,NYSE,44.46,44.47,0.01,8265675,3225472,8312862,,N
KOLD,,,,ARCA,11.82,11.83,0.01,10210865,1827108,4587029,,P
KSS,,,,NYSE,50.64,50.68,0.04,4965081,5861490,3559027,,N
KZR,,,,NSDQ,13.57,13.6,0.03,3427188,159658,736425,,Q
LABU,,,,ARCA,36.06,36.07,0.01,5579039,4245546,7563360,,P
LAC,,,,NYSE,33.58,33.61,0.03,5189135,1579329,2438140,,N
LAZR,,,,NSDQ,15.29,15.31,0.02,8921854,1086250,2091319,,Q
LBRT,,,,NYSE,10.07,10.08,0.01,1701300,293486,887141,,N
LBTYA,,,,NSDQ,27.73,27.75,0.02,1151921,438537,898325,,Q
LBTYK,,,,NSDQ,27.8,27.81,0.01,2207870,1155253,1611165,,Q
LC,,,,NYSE,29.33,29.37,0.04,2381150,726178,1343551,,N
LBRDK,,,,NSDQ,149.82,149.9,0.08,1147238,447509,1884944,,Q
LCID,,,,NSDQ,37.63,37.66,0.03,97900555,67242379,120872631,,Q
LESL,,,,NSDQ,21.71,21.74,0.03,1415373,3368017,2025472,,Q
LEVI,,,,NYSE,25.38,25.41,0.03,1200649,272568,715034,,N
LGVN,,,,NSDQ,19.55,19.68,0.13,34028863,1284778,5455246,,S
LI,,,,NSDQ,32.23,32.26,0.03,11504934,6982489,6075021,,Q
LICY,,,,NYSE,11.84,11.88,0.04,1332335,293962,728746,,N
LEV,,,,NYSE,10.61,10.62,0.01,1230182,405976,1034801,,N
LFACU,,,,NSDQ,10.1,10.16,0.06,1211093,143740,251,,G
