,0
0,XLF
1,SPY
2,ASML
3,GDX
4,BITO
5,GLD
6,TLT
7,XLI
8,DIA
9,BBL
10,XOP
11,EWZ
12,URNM
13,QQQ
14,CPER
15,UNG
16,DBB
17,KWEB
18,XLE
19,FB
20,SOXL
