Date,%Gap_AA,%Gain_AA,%YesterdaysGain_AA,%2DaysGain_AA,NearSigmaFlag_AA,NearBollingerBandsFlag_AA,%Gap_CENX,%Gain_CENX,%YesterdaysGain_CENX,%2DaysGain_CENX,NearSigmaFlag_CENX,NearBollingerBandsFlag_CENX,%Gap_XLE,%Gain_XLE,%YesterdaysGain_XLE,%2DaysGain_XLE,NearSigmaFlag_XLE,NearBollingerBandsFlag_XLE,%Gap_DBB,%Gain_DBB,%YesterdaysGain_DBB,%2DaysGain_DBB,NearSigmaFlag_DBB,NearBollingerBandsFlag_DBB,%Gap_KWEB,%Gain_KWEB,%YesterdaysGain_KWEB,%2DaysGain_KWEB,NearSigmaFlag_KWEB,NearBollingerBandsFlag_KWEB
2019-01-30,1.2173926311990488,2.921739661175272,2.7519673708405246,5.754112354152246,Standard_range,NearSMA20UpperSigma,1.1587419057860404,3.707991779614819,1.053865960069187,4.8009350028515305,Standard_range,BelowSMA20UpperSigma,0.6240988624950318,1.4082208829915968,0.3049798454784295,1.717495518342969,Standard_range,NearSMA20UpperSigma,0.7467382794789224,1.4312355109154467,0.5003122254607786,1.9387083826124714,Standard_range,NearSMA20UpperTwoSigma,1.5223581724805713,1.4034256416249884,-0.4027438347134386,0.9950295966651177,Standard_range,NearSMA20UpperTwoSigma
2019-01-31,-1.0476494232639293,0.30415732383840277,2.921739661175272,3.2347836701766304,Standard_range,NearSMA20UpperSigma,-0.5586613608986063,2.7932961489138504,3.707991779614819,6.604863120110692,Standard_range,NearSMA20UpperSigma,0.15780699148480334,0.6469936157846834,1.4082208829915968,2.0643255979853827,Standard_range,NearSMA20UpperSigma,0.5521482012297367,0.4294577021432749,1.4312355109154467,1.8668397641961578,Standard_range,NearSMA20UpperTwoSigma,0.8210144624717645,2.721088009260506,1.4034256416249884,4.16270209773864,Standard_range,NearSMA20UpperTwoSigma
2019-02-01,0.06738698638147948,-3.638813721702414,0.30415732383840277,-3.3457241162994062,Standard_range,NearSMA20UpperSigma,0.1086981422734912,-2.1739110153428576,2.7932961489138504,0.5586613608986063,Standard_range,NearSMA20UpperSigma,1.081847686755082,1.7403584691065626,0.6469936157846834,2.398612093078133,Standard_range,NearSMA20UpperTwoSigma,0.0,-0.3665324997859039,0.4294577021432749,0.06135110030618213,Standard_range,NearSMA20UpperTwoSigma,-0.4110534400832944,-0.9362864554467936,2.721088009260506,1.7593243753422199,Standard_range,NearSMA20UpperTwoSigma
2019-02-04,-0.5944058532393949,1.713285890148591,-3.638813721702414,-1.9878711136165412,Standard_range,AboveSMA20LowerSigma,-0.22222730848524305,1.2222184075249565,-2.1739110153428576,-0.9782625484106343,Standard_range,NearSMA20UpperSigma,-0.6780743497378446,0.2311627789949328,1.7403584691065626,1.9755443091031555,Standard_range,NearSMA20UpperTwoSigma,0.674436627550231,1.5941154959860895,-0.3665324997859039,1.2217400448232731,Standard_range,NearSMA20UpperTwoSigma,0.18441220467424393,0.9912408819460267,-0.9362864554467936,0.04567357238072124,Standard_range,NearSMA20UpperTwoSigma
2019-02-05,-0.30938519118530866,-0.06875372175579932,1.713285890148591,1.6433542205789977,Standard_range,BelowSMA20UpperSigma,0.1097720006444368,1.09769906957604,1.2222184075249565,2.333333757188585,Standard_range,NearSMA20UpperSigma,-0.07688045980004747,0.15374918928886513,0.2311627789949328,0.38526737918244025,Standard_range,NearSMA20UpperTwoSigma,-0.06035141258909977,-0.5431512024469315,1.5941154959860895,1.0423058360543165,Standard_range,NearSMA20UpperTwoSigma,0.43368778989543233,2.3054058202996397,0.9912408819460267,3.31949882723124,Standard_range,NearSMA20UpperTwoSigma
2019-02-06,-0.20639651383643423,-1.7887872831875384,-0.06875372175579932,-1.8563111471118519,Standard_range,BelowSMA20UpperSigma,-0.4343101160407487,-1.8458205818655877,1.09769906957604,-0.7683830676427296,Standard_range,NearSMA20UpperSigma,-0.47589432222655575,-0.7368678723312052,0.15374918928886513,-0.5842516114221794,Standard_range,NearSMA20UpperTwoSigma,-0.3033934371927901,-0.667467876567689,-0.5431512024469315,-1.206993719217096,Standard_range,AboveSMA20UpperSigma,-0.17848732017430152,-1.6956678418294748,2.3054058202996397,0.5706459533516786,Standard_range,NearSMA20UpperTwoSigma
2019-02-07,-0.5954468680800155,-4.413304221380183,-1.7887872831875384,-6.123146879887294,Standard_range,NearSMA20LowerSigma,-1.8805318253463637,-6.305306385282104,-1.8458205818655877,-8.03474232413847,Standard_range,BelowSMA20UpperSigma,-0.6186228011510403,-2.211574449246476,-0.7368678723312052,-2.9321459399884984,Standard_range,NearSMA20UpperSigma,-0.18326624989295195,-0.06108874996431731,-0.667467876567689,-0.7281488787497977,Standard_range,NearSMA20UpperSigma,-1.044037414508073,-2.723560430179397,-1.6956678418294748,-4.373045733641527,Standard_range,NearSMA20UpperSigma
2019-02-08,-0.6229390640922237,1.3191597322303728,-4.413304221380183,-3.152363021299081,Standard_range,NearSMA20LowerTwoSigma,0.0,-0.11806645297006486,-6.305306385282104,-6.415928386654173,Standard_range,NearSMA20LowerSigma,-0.26885682457068066,-0.4586445004378598,-2.211574449246476,-2.660075685099778,Standard_range,BelowSMA20UpperSigma,-0.6112492526831125,-0.6723753438124027,-0.06108874996431731,-0.7330533480841167,Standard_range,NearSMA20UpperSigma,-0.5133019542001365,0.9099379003607497,-2.723560430179397,-1.8384052384120781,Standard_range,BelowSMA20UpperSigma
2019-02-11,-0.3616650374299323,1.1573226012261966,1.3191597322303728,2.4917492671839465,Standard_range,NearSMA20LowerTwoSigma,0.0,-0.11820601461872249,-0.11806645297006486,-0.23613290594012973,Standard_range,NearSMA20LowerSigma,-0.47664322149068694,0.476649282338102,-0.4586445004378598,0.01581865618042197,Standard_range,AboveSMA20LowerSigma,-1.6615412785456731,-1.2923020582932692,-0.6723753438124027,-1.9559882816981278,Below_lower_sigma,AboveSMA20LowerSigma,1.9884407175758672,1.5722550408688585,0.9099379003607497,2.4964994857368064,Above_upper_sigma,NearSMA20UpperSigma
2019-02-12,1.2870955280276946,1.5373625875295787,1.1573226012261966,2.7124774334440507,Standard_range,AboveSMA20LowerSigma,1.4201170209200036,0.23669181319675361,-0.11820601461872249,0.11820601461872249,Standard_range,NearSMA20LowerSigma,1.3440775408980596,1.2650208978930917,0.476649282338102,1.7476998932624281,Standard_range,NearSMA20UpperSigma,-0.6234496847642808,-0.872825991309922,-1.2923020582932692,-2.1538485013521744,Standard_range,AboveSMA20LowerSigma,0.9333026281900655,1.3202777426092738,1.5722550408688585,2.913290916839776,Standard_range,NearSMA20UpperSigma
