,RUN,SHLS,SEDG,NOVA,FSLR,BLDP,CSIQ,ARRY,ENPH,SPWR,JKS
RUN,1,0.5965801765251232,0.6551048980259221,0.7570093319745955,0.6017697046910216,0.6789120816394382,0.6405623596687677,0.5484610133449929,0.7717509550916063,0.6772767637683234,0.49722897083817247
SHLS,0.5194426712991809,1,0.5533473122073097,0.5974927444257367,0.6673192444162783,0.5719292198000292,0.6365684756953397,0.5405101741278611,0.6537273021886223,0.5556010063146585,0.39858979513856163
SEDG,0.7075160935711415,0.6913378743239047,1,0.7369456134397633,0.6892224383794502,0.815529713827856,0.6648945709057275,0.49251816975273865,0.8550907369109719,0.6666951774283026,0.4671504453950827
NOVA,0.7657116992041675,0.5642156601784427,0.6237174124262503,1,0.6734959297037371,0.6838876403853669,0.6736226198943188,0.5635022208925645,0.7946060319407501,0.681511863740857,0.44909292665107364
FSLR,0.601728040436289,0.6004850317568087,0.7063591621180441,0.6705441618194787,1,0.6761220290276609,0.6833200859831746,0.47481613019266133,0.7740980527732597,0.7092489581985516,0.4453607985267625
BLDP,0.6055367046051305,0.5655085556331648,0.6312845059987753,0.6656444497410011,0.5710888664415363,1,0.6240213566264619,0.5108789171787864,0.6774659742643158,0.618983406040737,0.2977131134191508
CSIQ,0.6579182178173322,0.5712453905155279,0.5805237247612621,0.6717331778058186,0.6914140317340032,0.6913389041384957,1,0.5441495053676878,0.6199297665213009,0.6505544001727936,0.5964009038548127
ARRY,0.386229689647735,0.589229339934764,0.5033945300955044,0.4520740321713361,0.6613753593428022,0.5674697048405397,0.614784822736859,1,0.4478549804907276,0.546586797815597,0.3083694790610243
ENPH,0.724952284166826,0.5716345379300976,0.7314325429630686,0.7327356617815897,0.6663522552894819,0.7371453572561706,0.655334971670308,0.515282965257619,1,0.6603636907778483,0.40962749854745933
SPWR,0.7038153316658377,0.6347416021730277,0.7033812448519393,0.7549803213327846,0.7551509155045361,0.6984104032252754,0.7228497047837487,0.49926500356124204,0.7952390799935021,1,0.5474574826883885
JKS,0.476473736564899,0.4462716281395715,0.4862645467908969,0.503455867816947,0.4608904894074221,0.492237065083866,0.6367394193510225,0.2755087766832097,0.48890123544703645,0.4375968080057527,1
