,TAN,XOP,SPY
SHLS,0.6629128931932872,0.23673990564485303,0.48107512587895923
ENPH,0.8094018264663252,0.36435095041791077,0.4897695567069135
RUN,0.816911243070781,0.32526492419372405,0.5488585313701818
SPWR,0.8471307012358245,0.4418762879956416,0.5878925251963688
BLDP,0.7572711045677476,0.392802862251096,0.49455100016390063
CSIQ,0.8025198564289395,0.3495983818447958,0.504533987837381
FSLR,0.7953711078160889,0.4583298240380745,0.5546443930631064
ARRY,0.5102180680255319,0.29821229128413707,0.4755533603135546
NOVA,0.8276268820261704,0.35365501740303146,0.4923143043462657
JKS,0.659708141778982,0.32996856432020966,0.36835543472567833
SEDG,0.8252706268400251,0.40993099087386714,0.5230579303533025
