,TAN,XOP,SPY
CSIQ,0.8199507145335736,0.3784337953319651,1.6075012731256686
NOVA,0.9164652011492072,0.36936117668328294,1.6546111061900595
ENPH,0.8382511991657404,0.3379034696516505,1.4262359476943973
ARRY,0.8302164463802334,0.2686878799123241,1.3835300678264324
RUN,1.1079475314609952,0.3961820469033806,2.0212480928099152
SHLS,0.5190409245970721,0.18952715935642123,1.1910783465446726
JKS,1.0433632966039361,0.6336351888706117,1.8665667447360363
BLDP,0.9459958551456413,0.3845387767842194,1.7125404202127912
SPWR,0.8614018789592066,0.5089986082373158,1.9353362604202458
SEDG,0.7436976392645168,0.3508577450875375,1.3690759880439591
FSLR,0.5373885223353944,0.317009156359845,1.1442184286466206
