,QQQ,SOXL
QRVO,1.2298777753660772,0.3321323597419608
AVGO,1.0957791699485495,0.30149966746530227
MCHP,1.269008955528018,0.34839439522679655
QCOM,1.1243595483470155,0.2965406790769193
SWKS,1.2715981412931425,0.3368969361138018
TXN,0.9924340879161281,0.2708411362736391
MRVL,1.192136562268331,0.32208352605493257
AMKR,1.3167704298153446,0.35138496578246425
ON,1.3676709580219193,0.38522593759320795
ADI,1.044053702592783,0.2850058659463891
MU,1.4212349559407234,0.4017675438028421
NXPI,1.3007809621802315,0.35879438993729623
XLNX,1.023170861639897,0.2789938562731821
NVDA,1.3410978045964244,0.35390744737659924
