Date,%Gap_EQT,%Gain_EQT,%YesterdaysGain_EQT,%2DaysGain_EQT,NearSigmaFlag_EQT,NearBollingerBandsFlag_EQT,%Gap_SWN,%Gain_SWN,%YesterdaysGain_SWN,%2DaysGain_SWN,NearSigmaFlag_SWN,NearBollingerBandsFlag_SWN,%Gap_AR,%Gain_AR,%YesterdaysGain_AR,%2DaysGain_AR,NearSigmaFlag_AR,NearBollingerBandsFlag_AR,%Gap_RRC,%Gain_RRC,%YesterdaysGain_RRC,%2DaysGain_RRC,NearSigmaFlag_RRC,NearBollingerBandsFlag_RRC,%Gap_CNX,%Gain_CNX,%YesterdaysGain_CNX,%2DaysGain_CNX,NearSigmaFlag_CNX,NearBollingerBandsFlag_CNX,%Gap_DVN,%Gain_DVN,%YesterdaysGain_DVN,%2DaysGain_DVN,NearSigmaFlag_DVN,NearBollingerBandsFlag_DVN,%Gap_EOG,%Gain_EOG,%YesterdaysGain_EOG,%2DaysGain_EOG,NearSigmaFlag_EOG,NearBollingerBandsFlag_EOG,%Gap_XOP,%Gain_XOP,%YesterdaysGain_XOP,%2DaysGain_XOP,NearSigmaFlag_XOP,NearBollingerBandsFlag_XOP,%Gap_UNG,%Gain_UNG,%YesterdaysGain_UNG,%2DaysGain_UNG,NearSigmaFlag_UNG,NearBollingerBandsFlag_UNG
2019-01-30,0.5058188121106313,0.4046531201502261,2.170542987152356,2.583979277224296,Standard_range,AboveSMA20LowerSigma,0.22371877743213897,2.9082801016271245,1.8223217799343223,4.783600103274894,Standard_range,NearSMA20UpperSigma,0.5819540591698003,2.4248301631911513,0.4873312828406481,2.923978401972786,Standard_range,BelowSMA20UpperSigma,0.5295712270143708,3.7952366113973097,0.5323821074120028,4.347823879462341,Standard_range,BelowSMA20UpperSigma,0.45420453780040837,2.4224049500389446,0.07575931080557088,2.4999994581395852,Standard_range,NearSMA20UpperSigma,0.6331473887474104,3.0540025444101437,1.3207561564895343,4.415094627524322,Standard_range,NearSMA20UpperSigma,0.829371570794801,0.5866230257389234,0.7849177211394961,1.376145254963729,Standard_range,NearSMA20UpperSigma,0.8626417854909754,2.8201738509711283,0.4666646321614702,3.299999237060547,Standard_range,BelowSMA20UpperSigma,-0.8123829350959016,-1.1218603916742205,0.4663849256445364,-0.6607076537832294,Standard_range,AboveSMA20LowerSigma
2019-01-31,0.35264329208559875,-1.9143630267633376,0.4046531201502261,-1.5174564363319119,Standard_range,AboveSMA20LowerSigma,0.652178487615554,-5.0000005183012695,2.9082801016271245,-2.2371344368291544,Standard_range,NearSMA20UpperSigma,-0.28409740012677726,-4.734848296702518,2.4248301631911513,-2.4248301631911513,Standard_range,BelowSMA20UpperSigma,0.25509976519825156,-6.207487089309814,3.7952366113973097,-2.647839300573752,Standard_range,NearSMA20UpperSigma,-1.7738342635241136,-10.273462062686924,2.4224049500389446,-8.09992196619488,Standard_range,NearSMA20UpperSigma,0.5421019809059721,-3.6863044992816683,3.0540025444101437,-0.7448817880742924,Standard_range,NearSMA20UpperTwoSigma,0.49271544313777377,-0.2513826120377963,0.5866230257389234,0.33376574541620935,Standard_range,NearSMA20UpperSigma,0.3226859703397746,-1.4520776344445379,2.8201738509711283,1.3271451027841856,Standard_range,NearSMA20UpperSigma,0.43036233431121024,-1.095456905896894,-1.1218603916742205,-2.205027800435997,Standard_range,AboveSMA20LowerSigma
2019-02-01,0.051362245683184614,0.9758630752868039,-1.9143630267633376,-0.9571815133816599,Standard_range,NearSMA20LowerSigma,0.686503674919696,0.22883819550847756,-5.0000005183012695,-4.782604233754287,Standard_range,BelowSMA20UpperSigma,0.3976139183357328,1.4910498237930356,-4.734848296702518,-3.3143974200943322,Standard_range,NearSMA20LowerSigma,-0.27198307975942504,-0.7252939768159433,-6.207487089309814,-6.887758536155365,Standard_range,AboveSMA20LowerSigma,-1.1532153160090883,-8.072491500790315,-10.273462062686924,-17.516629211629922,Standard_range,NearSMA20LowerTwoSigma,0.6378989820912933,1.3508465872593982,-3.6863044992816683,-2.3852542305468063,Standard_range,NearSMA20UpperSigma,0.6754090916851748,-0.35282105331487096,-0.2513826120377963,-0.603316734573025,Standard_range,NearSMA20UpperSigma,0.5893856988577526,0.5239025625921238,-1.4520776344445379,-0.9357825437900961,Standard_range,BelowSMA20UpperSigma,-1.661392661732875,-3.362343189803592,-1.095456905896894,-4.4209670750278285,Standard_range,NearSMA20LowerSigma
2019-02-04,-0.6612368350741042,0.610380672252113,0.9758630752868039,1.5922002271381126,Standard_range,NearSMA20LowerSigma,-1.1415568362660995,-0.6849362790982247,0.22883819550847756,-0.4576654794112185,Standard_range,AboveSMA20LowerSigma,-0.6855993590860269,-1.5670895868199035,1.4910498237930356,-0.09940584954982498,Standard_range,NearSMA20LowerSigma,-0.7305929232835626,-0.5479403377853522,-0.7252939768159433,-1.2692601363347935,Standard_range,NearSMA20LowerSigma,-2.2401433998045484,-4.032256410554406,-8.072491500790315,-11.779244355312645,Below_lower_sigma,BelowSMA20LowerTwoSigma,-1.110703968407936,0.5553484533845914,1.3508465872593982,1.9136969462739333,Standard_range,BelowSMA20UpperSigma,-1.112795640972188,0.5361646813131863,-0.35282105331487096,0.18145192612220376,Standard_range,AboveSMA20LowerSigma,-0.9120543312282801,0.5863139848662258,0.5239025625921238,1.1132882614498998,Standard_range,BelowSMA20UpperSigma,-2.29226139560768,-2.61972730926592,-3.362343189803592,-5.893986276294984,Below_lower_sigma,NearSMA20LowerTwoSigma
2019-02-05,-0.3033436360370259,-3.488374671915315,0.610380672252113,-2.8992863644363105,Standard_range,AboveSMA20LowerSigma,-0.2298793623886846,-2.528738756919483,-0.6849362790982247,-3.1963547868679485,Standard_range,AboveSMA20LowerSigma,0.39800956312322733,-3.880600357423842,-1.5670895868199035,-5.386877460136461,Standard_range,NearSMA20LowerSigma,-0.2754883902634847,-1.5610658488012035,-0.5479403377853522,-2.1004524771015824,Standard_range,NearSMA20LowerSigma,0.09337281835870247,-0.09337281835870247,-4.032256410554406,-4.121864197459124,Standard_range,NearSMA20LowerTwoSigma,-0.3313702249393279,-1.1045627347053733,0.5553484533845914,-0.5553484533846308,Standard_range,NearSMA20UpperSigma,-0.15092966454997772,-1.0364246405344273,0.5361646813131863,-0.5058169020922139,Standard_range,NearSMA20UpperSigma,-0.3238292643742666,-1.3601039109727706,0.5863139848662258,-0.7817644055452908,Standard_range,NearSMA20UpperSigma,0.504409109990594,0.7145782362469666,-2.61972730926592,-1.9238690742199855,Standard_range,BelowSMA20LowerSigma
2019-02-06,-0.4190671716427731,-2.147720503587993,-3.488374671915315,-5.561174637432612,Standard_range,BelowSMA20LowerSigma,-0.47169768882415103,-6.132069954713963,-2.528738756919483,-8.505744682087178,Standard_range,NearSMA20LowerSigma,-0.4140782865927606,-3.5196703722409897,-3.880600357423842,-7.263686388619507,Standard_range,NearSMA20LowerTwoSigma,-0.1865714297152277,-5.410446914725772,-1.5610658488012035,-6.887052124473674,Standard_range,BelowSMA20LowerSigma,-0.09346008467380283,-1.2149543622267078,-0.09337281835870247,-1.3071927434556272,Standard_range,NearSMA20LowerTwoSigma,-0.5584568967622946,-0.2978403644384878,-1.1045627347053733,-1.399113265469363,Standard_range,BelowSMA20UpperSigma,-0.8744286971980678,-2.206403866408097,-1.0364246405344273,-3.2199607936013668,Standard_range,NearSMA20LowerSigma,-0.6565950807686403,-1.1818736501093436,-1.3601039109727706,-2.5259028513442208,Standard_range,AboveSMA20LowerSigma,-0.5843046535805775,-0.3756187340490402,0.7145782362469666,0.3362754124731456,Standard_range,BelowSMA20LowerSigma
2019-02-07,-0.6959371841081512,-4.496788751952786,-2.147720503587993,-6.5479308015120505,Standard_range,NearSMA20LowerTwoSigma,-1.0050241623450802,-6.532663045659554,-6.132069954713963,-12.264145532507925,Standard_range,BelowSMA20LowerTwoSigma,-0.32188555744109376,-6.33047394749963,-3.5196703722409897,-9.627332503788042,Standard_range,NearSMA20LowerTwoSigma,-0.7889538559901044,-4.733732541012461,-5.410446914725772,-9.888063369521655,Standard_range,NearSMA20LowerTwoSigma,-0.47302969256500194,-5.67643751294725,-1.2149543622267078,-6.822425749991333,Standard_range,NearSMA20LowerTwoSigma,-1.0082167693830963,-5.526517593866229,-0.2978403644384878,-5.8078977581623885,Standard_range,AboveSMA20LowerSigma,-0.7485976485949118,-3.3167003860308775,-2.206403866408097,-5.449924446884418,Standard_range,NearSMA20LowerTwoSigma,-0.897011476218753,-4.318940624364536,-1.1818736501093436,-5.449769853270647,Standard_range,NearSMA20LowerTwoSigma,-1.675749944765214,-3.8542104899376777,-0.3756187340490402,-4.215352087336829,Standard_range,NearSMA20LowerTwoSigma
2019-02-08,-0.280264779332381,-0.280264779332381,-4.496788751952786,-4.764450616212463,Standard_range,NearSMA20LowerTwoSigma,-0.8064508376086847,2.150535566956493,-6.532663045659554,-4.522614720969393,Standard_range,BelowSMA20LowerTwoSigma,-0.4581897359731215,1.1454798019853032,-6.33047394749963,-5.257508445952878,Standard_range,BelowSMA20LowerTwoSigma,-0.8281565731855027,-2.2774355124627266,-4.733732541012461,-6.903360347521166,Standard_range,NearSMA20LowerTwoSigma,-0.8024064349387998,-1.9057224570590694,-5.67643751294725,-7.4739828255611584,Standard_range,NearSMA20LowerTwoSigma,0.0,-1.501973012749985,-5.526517593866229,-6.945483803811464,Standard_range,NearSMA20LowerTwoSigma,-0.34412270370517734,-0.5269360953071153,-3.3167003860308775,-3.8261595898308056,Standard_range,BelowSMA20LowerTwoSigma,0.0,-1.5277730498783846,-4.318940624364536,-5.780730063343629,Standard_range,BelowSMA20LowerTwoSigma,0.5664451261218504,1.3943341358879893,-3.8542104899376777,-2.513616926579865,Standard_range,NearSMA20LowerTwoSigma
2019-02-11,0.3934777471715704,3.316459892502308,-0.280264779332381,3.026900244170559,Standard_range,NearSMA20LowerTwoSigma,0.0,3.684213333182753,2.150535566956493,5.913979218231894,Standard_range,NearSMA20LowerTwoSigma,0.4530007044013528,2.378256398204284,1.1454798019853032,3.5509786468704405,Standard_range,NearSMA20LowerTwoSigma,0.8474669590729236,9.63983942305936,-2.2774355124627266,7.142862784231498,Standard_range,NearSMA20LowerTwoSigma,-0.40899757612646925,0.8179951522529385,-1.9057224570590694,-1.1033160221202696,Standard_range,NearSMA20LowerTwoSigma,-0.8828222820262931,2.0866791981206343,-1.501973012749985,0.5533648269522091,Standard_range,BelowSMA20LowerTwoSigma,-0.9405435098184275,1.8486476588893581,-0.5269360953071153,1.3119703717925046,Standard_range,BelowSMA20LowerTwoSigma,-0.8462615160542671,1.6219995577318767,-1.5277730498783846,0.0694460357413178,Standard_range,BelowSMA20LowerTwoSigma,3.7387147175345565,1.46110935066377,1.3943341358879893,2.8758162329907155,Above_upper_sigma,NearSMA20LowerSigma
2019-02-12,1.2513681179916027,2.7203483287816743,3.316459892502308,6.127027482544384,Standard_range,NearSMA20LowerSigma,2.030454886909114,1.7766540772783588,3.684213333182753,5.526323136860737,Standard_range,NearSMA20LowerSigma,1.5486763707248372,2.5442532840840726,2.378256398204284,4.983018548803608,Standard_range,NearSMA20LowerSigma,1.835744670342887,0.579704963584368,9.63983942305936,10.275427014260766,Standard_range,NearSMA20LowerSigma,1.825560967985268,1.0142026871370704,0.8179951522529385,1.8404939682048094,Standard_range,NearSMA20LowerTwoSigma,1.729554313962924,2.0440194162688585,2.0866791981206343,4.173350742354322,Standard_range,NearSMA20LowerSigma,1.6664894491894549,1.5072690613998077,1.8486476588893581,3.3837808145058967,Standard_range,NearSMA20LowerSigma,2.047190002898746,1.21443575702946,1.6219995577318767,2.8561334573692925,Standard_range,NearSMA20LowerSigma,0.08470372680242312,0.8470938179609213,1.46110935066377,2.320580135607813,Standard_range,NearSMA20LowerSigma
