,QQQ,DIA,XLF,FB,TLT
GLBE,1.9515476347551357,1.8978734666331685,1.051652521074694,0.23466031316610583,-0.6383978898214464
PINS,1.805052811350657,0.7412035729246885,0.2671039845257309,0.58655780365845,-0.054575952874087695
SNAP,1.8461364885728972,1.5140419054208634,0.8194966856182566,1.9665501735905364,-0.25540653276325304
TTD,2.0429449372472264,1.4360059844473547,0.7217707455002127,0.821264019848564,-0.20764608796729064
GOOGL,0.9498825594746884,0.7265807497156291,0.4088676595922415,0.3373051835584208,-0.012223969009259362
MTCH,0.9406958997046752,0.8480787702397595,0.520030351584193,0.38196309021823843,-0.21615488744823233
APPS,2.404235273344425,1.6362331249588307,0.8245774018033166,0.47975859869554527,-0.41360208784441965
MGNI,2.286422071817702,2.186576175919525,1.3147885832297528,0.7303015929764961,-0.5598563069316365
TWTR,1.5734474892707773,1.0627569588885681,0.6002230462793466,0.6511771157055497,-0.16299131772830036
GOOG,0.8789847867372776,0.6709393891623913,0.34927891661119626,0.31675209803015375,-0.0025216462829282687
