,mae,mae_main_etf,r2_score,r2_score_main_etf,chisquare_normal,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
MSTR,0.6139033361627377,0.5438999783858655,0.9178109819532175,0.9245376318925118,True,True,4,3,1.0116659581648808,1.0603266452374793,2.339287406775428,0.35500345770364483,-1.9842839490717834,2.694290864479073,-4.3235713558472115,5.033578271254501,0.8622687894771879,0.857177041669964
MARA,0.909662964734339,0.6317036883480684,0.9253980655191837,0.9772055338103873,True,True,3,5,1.8793467050925987,0.8374392251899929,4.170366985189043,0.8664014994561005,-3.3039654857329426,5.036768484645143,-7.474332470921985,9.207135469834187,0.7249699026380682,0.7199617413459337
RIOT,2.2261477615901804,1.4042750432436009,0.5352434862923,0.8645139838269045,True,True,2,5,4.982063371095579,1.8194115373896065,3.3977570045867806,0.6368392509581954,-2.7609177536285854,4.034596255544976,-6.158674758215366,7.432353260131757,0.8263258569993763,0.7805900995510433
