Date,%Gap_FSLR,%Gain_FSLR,%YesterdaysGain_FSLR,%2DaysGain_FSLR,%Gap_SEDG,%Gain_SEDG,%YesterdaysGain_SEDG,%2DaysGain_SEDG,%Gap_ENPH,%Gain_ENPH,%YesterdaysGain_ENPH,%2DaysGain_ENPH,%Gap_BLDP,%Gain_BLDP,%YesterdaysGain_BLDP,%2DaysGain_BLDP,%Gap_SPWR,%Gain_SPWR,%YesterdaysGain_SPWR,%2DaysGain_SPWR,%Gap_CSIQ,%Gain_CSIQ,%YesterdaysGain_CSIQ,%2DaysGain_CSIQ,%Gap_RUN,%Gain_RUN,%YesterdaysGain_RUN,%2DaysGain_RUN,%Gap_JKS,%Gain_JKS,%YesterdaysGain_JKS,%2DaysGain_JKS,%Gap_NOVA,%Gain_NOVA,%YesterdaysGain_NOVA,%2DaysGain_NOVA,%Gap_ARRY,%Gain_ARRY,%YesterdaysGain_ARRY,%2DaysGain_ARRY,%Gap_SHLS,%Gain_SHLS,%YesterdaysGain_SHLS,%2DaysGain_SHLS,%Gap_TAN,%Gain_TAN,%YesterdaysGain_TAN,%2DaysGain_TAN,%Gap_ARKK,%Gain_ARKK,%YesterdaysGain_ARKK,%2DaysGain_ARKK,%Gap_SPY,%Gain_SPY,%YesterdaysGain_SPY,%2DaysGain_SPY
2021-02-02,0.7730669871876311,-1.037530941304817,-0.847205198545453,-6.460514761281599,1.3961776435057578,2.0709993740660444,4.331849385642269,-2.8798292733872204,1.8782870391676108,3.3755547217657944,2.188094379393664,-3.8195565941256087,0.9850895042031458,2.758231285972822,3.980101501988308,4.499996409696691,-2.3618766556111597,-10.125283311204315,-9.850027513707957,-7.941011176796267,1.8800413257743231,3.437783412889866,2.009129633097888,-2.835770843939393,2.4971419793475733,1.9175787349070252,0.8806130213846849,-2.728283942630009,2.056840008694335,2.2766537827045727,2.742372805633753,-4.254356823772322,2.1366549698466564,1.3131541254851153,2.4629461086345783,-1.1005943135400675,2.72971674361141,5.703144582516097,0.662415281850097,-2.9105527474893105,2.4150738854614886,3.0785558333787226,11.052166125173786,14.181819106593277,4.180997960707733,4.877827501944287,1.6652843112866034,-1.4975934218269644,1.8791249658704676,2.9939730883824356,3.7689119497721384,1.6029066597327966,0.9090138506469461,1.4140224467191707,1.6645509066376543,-0.37073163635893447
2021-02-03,0.9867397219023376,1.6959620827956576,-1.037530941304817,-1.8759461237790178,0.9607595910475407,0.009769998531021585,2.0709993740660444,6.492561333370449,1.8429048969439648,1.9259675860648595,3.3755547217657944,5.637509424299774,-0.05477032042100217,1.5338301808705723,2.758231285972822,6.848113192802447,-1.2797019654321813,2.3537537328636096,-10.125283311204315,-18.977967632917768,0.4154368389610738,2.492640843514939,3.437783412889866,5.515982571257848,1.7972462192612109,4.0718919912569405,1.9175787349070252,2.815078204326605,0.0,0.6294191985739099,2.2766537827045727,5.081460922553648,0.7469247565218374,1.2961338898388852,1.3131541254851153,3.808442512553704,1.7062524710434221,-0.6686583075216196,5.703144582516097,6.4033383656267855,0.6694086521930139,-4.685890030056947,3.0785558333787226,14.470969063513753,0.28475436430467704,0.5781328608801188,4.877827501944287,6.6243415093523925,1.184563619302924,-0.5310087701939515,2.9939730883824356,6.8757252476555815,0.2332629214813203,0.07863145594165497,1.4140224467191707,3.102110476813749
2021-02-04,0.3739590742446617,-0.35375590749847585,1.6959620827956576,0.6408350101290382,0.322398331133228,-1.751978181739401,0.009769998531021585,2.0809717092054902,-0.8862128281700681,-0.36161325675909034,1.9259675860648595,5.366534397621745,-0.1888311178863922,2.913412031145712,1.5338301808705723,4.3343680507658595,-3.259654062580112,-10.404107506496244,2.3537537328636096,-8.009853812241193,0.6586715008930167,-1.7564616308195071,2.492640843514939,6.016115849866079,1.6324865618390094,-0.29681761002534524,4.0718919912569405,6.0675524610966916,0.07627066367002215,-4.759729368919326,0.6294191985739099,2.920402677271884,-1.7783554195836013,1.3879839105982565,1.2961338898388852,2.6263082509702307,1.5552417373908676,2.0891310885062855,-0.6686583075216196,4.996351724953514,0.9454307665944416,7.023226477502218,-4.685890030056947,-1.7515919375442544,0.5919719079089524,-1.304046563918578,0.5781328608801188,5.484160686510194,1.245631413200299,1.5330952596035805,-0.5310087701939515,2.447066058511927,0.2906862207202883,1.136570975126331,0.07863145594165497,1.4937657690980228
2021-02-05,0.36514922783623166,-1.2070137500901534,-0.35375590749847585,1.336206609240358,0.8949226318228835,2.1677089037888124,-1.751978181739401,-1.742379351450999,0.690073511747451,-1.242144800858105,-0.36161325675909034,1.5573897751936756,3.119262330570953,1.3892496935743301,2.913412031145712,4.4919290050431115,0.6229753135955789,8.472458561390567,-10.404107506496244,-8.295240842437932,0.4125867045237839,-0.49853379741879267,-1.7564616308195071,0.692396932684956,0.6765899724980464,1.5967527480531363,-0.29681761002534524,3.7629882887403334,1.1853241392795275,1.9541906370965905,-4.759729368919326,-4.160268820793556,0.7058862696356952,5.775402701474766,1.3879839105982565,2.7021079302879167,1.7280630835400494,-0.38653517670470694,2.0891310885062855,1.406503632406352,1.0348305362576777,0.832917314364455,7.023226477502218,2.0082357781476765,0.48678507835283336,1.434285042374496,-1.304046563918578,-0.7334528247456507,0.303334634127476,0.7482309165373586,1.5330952596035805,0.9939456191257063,0.5204717245185307,0.3935858007878996,1.136570975126331,1.216096133373538
2021-02-08,0.6981522531035147,3.0082138185565515,-1.2070137500901534,-1.5564997751433667,0.5093457610821266,3.435633491241146,2.1677089037888124,0.37775293501140933,0.7401697500820397,2.417183355440939,-1.242144800858105,-1.5992662973491487,2.0941090147370787,5.972082096860568,1.3892496935743301,4.343136292435291,2.1824047543765883,4.181023996926491,8.472458561390567,-2.8131326422760954,0.7947461575394931,2.7988923669477836,-0.49853379741879267,-2.2462388733699714,1.1054898918654277,0.42621162362819776,1.5967527480531363,1.2951956946830059,0.015708281686599962,1.979579113942671,1.9541906370965905,-2.898552917501294,0.4853343985171214,3.0940318618630642,5.775402701474766,7.243548272341749,0.31956034069834294,0.18260217724209674,-0.38653517670470694,1.6945206852570278,0.0,0.12515453343102267,0.832917314364455,7.914641461224818,0.5227531044554251,1.9710304004134218,1.434285042374496,0.11153473364403528,1.7329025970465988,2.575933809568973,0.7482309165373586,2.292797268853262,0.40236196976484123,0.7221940038321912,0.3935858007878996,1.5346301578882044
2021-02-09,-0.1495081462586767,1.5149971248140939,3.0082138185565515,1.7648905140443083,-0.8374315536820044,2.2237641232223724,3.435633491241146,5.6778169281211435,-0.05559236522259473,1.1270081575568767,2.417183355440939,1.1450136372060171,0.04878419674940158,-0.21956611100889573,5.972082096860568,7.44429892266554,-0.6835668556210639,8.31312146551675,4.181023996926491,13.007718083898453,0.8571400361902574,2.0672261214055934,2.7988923669477836,2.2864051451263814,-0.10610322206323715,2.877981598184083,0.42621162362819776,2.0297699174941393,0.4621713225050803,-1.2170711307300597,1.979579113942671,3.9724545007378484,0.4511564227178469,4.825419981486208,3.0940318618630642,9.04812736307236,0.8202338012255008,0.36454739037851464,0.18260217724209674,-0.20463882111107962,-0.625,-3.500003814697265,0.12515453343102267,0.9591142815741367,0.13446816117483743,2.4792038243534975,1.9710304004134218,3.4335856370017024,0.3913678905945504,1.0566793705468243,2.575933809568973,3.343438659259066,-0.23047409581195463,-0.06658210010571862,0.7221940038321912,1.1186222576733158
2021-02-10,0.8542000585332251,-1.9342182132714454,1.5149971248140939,4.568785296230037,2.172308014412701,-1.6936730804578046,2.2237641232223724,5.735797999447151,6.946523474513873,0.9845083261436953,1.1270081575568767,3.571433366596742,-2.6894920483617786,-13.276283869427303,-0.21956611100889573,5.739403317445337,0.7736178265031699,0.040717545192538826,8.31312146551675,12.841719065810144,2.848673728431618,0.0329334067420205,2.0672261214055934,4.9239779224729485,0.2965107101179227,0.6574734281770251,2.877981598184083,3.316459513909622,2.8228282611703936,-1.980667838521944,-1.2170711307300597,0.7384150973068531,2.1519490183971484,-2.320355343627911,4.825419981486208,8.068751875045162,0.24971762146823326,0.15890963912964856,0.36454739037851464,0.5478152390925217,-0.7512878556834742,-3.238342096925334,-3.500003814697265,-3.3792296947105958,1.1481005973877232,-1.8287709630029945,2.4792038243534975,4.499100085833139,1.4651806491796122,-1.1811699856561664,1.0566793705468243,3.659832541280454,0.4791787616111467,-0.043565260149743754,-0.06658210010571862,0.6551310517918835
2021-02-11,0.8410132062317662,-0.2903493427132684,-1.9342182132714454,-0.4485244387760443,1.4294685321759004,3.239701960221041,-1.6936730804578046,0.49242774843667164,1.7221733069744753,-1.4796879223974277,0.9845083261436953,2.1226119728480377,4.595424858532489,3.411330822752846,-13.276283869427303,-13.466699760257594,0.9971544252196528,1.6687010683947128,0.040717545192538826,8.35722390969892,0.24691609198172698,0.7901227032696758,0.0329334067420205,2.100840336134454,1.498460734512906,5.27663296691786,0.6574734281770251,3.5543769906369924,1.8297558532995462,3.4049314902204753,-1.980667838521944,-3.1736328327936985,0.7854403092330946,-0.9770155723686563,-2.320355343627911,2.3930977474653927,1.0199473568305961,0.06800225457950125,0.15890963912964856,0.5240363304506702,-0.10708728906050999,-2.6773762807323154,-3.238342096925334,-6.625003814697266,1.1945537683670935,1.3699769461122304,-1.8287709630029945,0.6050939016970667,1.2410149057732438,0.9601575193336126,-1.1811699856561664,-0.13697179467886175,0.29737584650333615,0.1615065895455229,-0.043565260149743754,-0.11011835359033816
2021-02-12,-1.094483761393531,1.1647792998944342,-0.2903493427132684,-2.2189515661158397,-3.257754705946555,0.033259528855016963,3.239701960221041,1.4911589197759085,-1.5471176425186446,3.73216425931453,-1.4796879223974277,-0.5097472470506779,-0.8178823188783404,-1.8811303734139313,3.411330822752846,-10.317851010428393,-1.661325123233216,-0.30023561635382845,1.6687010683947128,1.7100980676989037,-0.19598061862141714,-1.2412188914176796,0.7901227032696758,0.8233163243353252,-0.8515778275307547,1.8004907687107194,5.27663296691786,5.968798854754798,0.6308719427392514,0.553932331412291,3.4049314902204753,1.3568232687480286,-1.102727239249098,-1.392914345394879,-0.9770155723686563,-3.274700682955035,-1.336353640309745,0.4303479504924027,0.06800225457950125,0.22701995584650214,-0.3576265718704541,4.31911901163341,-2.6773762807323154,-5.829015774465601,-1.4009039716673142,-0.024720873237812597,1.3699769461122304,-0.4838477574810995,-0.44640124779119245,1.300378088628713,0.9601575193336126,-0.23235355875594327,-0.22010835923590064,0.4939784585931889,0.1615065895455229,0.11787096862988469
2021-02-16,1.0322589732281329,-2.024814804493641,1.1647792998944342,0.8710480281398622,2.0734963667399455,0.13901642077862475,0.033259528855016963,3.2740389986843343,0.7554175869832231,-6.299934556632492,3.73216425931453,2.1972519531279917,1.3892747337635034,-6.22395547096352,-1.8811303734139313,1.4660288690944787,-0.04015349771582935,-6.564947535851926,-0.30023561635382845,1.3634554171030866,0.7937812676477729,-4.283115760383292,-1.2412188914176796,-0.4609033404063669,0.7050625427090641,-7.719884155011281,1.8004907687107194,7.172129025096681,2.3871541307013957,-2.264727738015819,0.553932331412291,3.9777248380195362,1.765740022811844,-3.668830099659632,-1.392914345394879,-2.35632092769927,1.488497620976189,-1.9621085450852922,0.4303479504924027,0.49864285138077546,1.1867109300337193,2.531653337357257,4.31911901163341,1.5261036629470217,1.1292472387307997,-2.3656468461930418,-0.024720873237812597,1.3449174026101822,1.5774691479236185,-0.9324349832633753,1.300378088628713,2.273021285960061,0.33617989949967464,-0.08660015352055923,0.4939784585931889,0.6562828559002752
