Date,%Gap_AXP,%Gain_AXP,%YesterdaysGain_AXP,%2DaysGain_AXP,NearSigmaFlag_AXP,NearBollingerBandsFlag_AXP,%Gap_BA,%Gain_BA,%YesterdaysGain_BA,%2DaysGain_BA,NearSigmaFlag_BA,NearBollingerBandsFlag_BA,%Gap_DIS,%Gain_DIS,%YesterdaysGain_DIS,%2DaysGain_DIS,NearSigmaFlag_DIS,NearBollingerBandsFlag_DIS,%Gap_DOW,%Gain_DOW,%YesterdaysGain_DOW,%2DaysGain_DOW,NearSigmaFlag_DOW,NearBollingerBandsFlag_DOW,%Gap_HD,%Gain_HD,%YesterdaysGain_HD,%2DaysGain_HD,NearSigmaFlag_HD,NearBollingerBandsFlag_HD,%Gap_HON,%Gain_HON,%YesterdaysGain_HON,%2DaysGain_HON,NearSigmaFlag_HON,NearBollingerBandsFlag_HON,%Gap_JNJ,%Gain_JNJ,%YesterdaysGain_JNJ,%2DaysGain_JNJ,NearSigmaFlag_JNJ,NearBollingerBandsFlag_JNJ,%Gap_MCD,%Gain_MCD,%YesterdaysGain_MCD,%2DaysGain_MCD,NearSigmaFlag_MCD,NearBollingerBandsFlag_MCD,%Gap_MMM,%Gain_MMM,%YesterdaysGain_MMM,%2DaysGain_MMM,NearSigmaFlag_MMM,NearBollingerBandsFlag_MMM,%Gap_PG,%Gain_PG,%YesterdaysGain_PG,%2DaysGain_PG,NearSigmaFlag_PG,NearBollingerBandsFlag_PG,%Gap_V,%Gain_V,%YesterdaysGain_V,%2DaysGain_V,NearSigmaFlag_V,NearBollingerBandsFlag_V,%Gap_MA,%Gain_MA,%YesterdaysGain_MA,%2DaysGain_MA,NearSigmaFlag_MA,NearBollingerBandsFlag_MA,%Gap_VZ,%Gain_VZ,%YesterdaysGain_VZ,%2DaysGain_VZ,NearSigmaFlag_VZ,NearBollingerBandsFlag_VZ,%Gap_DIA,%Gain_DIA,%YesterdaysGain_DIA,%2DaysGain_DIA,NearSigmaFlag_DIA,NearBollingerBandsFlag_DIA,%Gap_SPY,%Gain_SPY,%YesterdaysGain_SPY,%2DaysGain_SPY,NearSigmaFlag_SPY,NearBollingerBandsFlag_SPY
2019-04-17,0.38434064688241054,-0.10725341449166484,1.221386491477954,1.1128230982700391,Standard_range,NearSMA20UpperTwoSigma,0.6234949374414435,-1.1002861242795825,1.6672907654859885,0.5486596722623689,Standard_range,NearSMA20UpperSigma,-0.06928124874458572,1.4241772058818347,-1.62072061379996,-0.21962534147089235,Standard_range,NearSMA20UpperTwoSigma,0.7692320734007746,-0.30769282936030984,1.2461080580034576,0.9345810435025902,Standard_range,NearSMA20UpperSigma,0.42548790140049114,1.0172650357690132,-0.1903736153892988,0.8249548161530297,Standard_range,AboveSMA20UpperSigma,0.2763090670242729,0.018419979850453374,0.5308645742910879,0.5493823392891589,Standard_range,NearSMA20UpperTwoSigma,0.7100389053781536,0.3622663269977631,1.0987400769533837,1.4649867692711782,Standard_range,NearSMA20UpperSigma,0.15649611712764475,-0.046946447221329395,-0.07819085248945436,-0.1251005918834879,Standard_range,NearSMA20UpperTwoSigma,0.3365657016461211,0.34117358874486736,0.4957568717750714,0.838621852030823,Standard_range,NearSMA20UpperTwoSigma,0.5639972788464269,0.16655024719929995,-0.05297000492773504,0.11349202059741628,Standard_range,NearSMA20UpperTwoSigma,0.3994254551043712,0.13106579258997833,-0.13089423502339034,0.0,Standard_range,NearSMA20UpperTwoSigma,0.24157684197653678,0.3790260635552066,0.39305978063839225,0.7735756432075713,Standard_range,NearSMA20UpperTwoSigma,-0.6633770770114628,-1.7179828550805558,0.1362661085032209,-1.5840577749587057,Standard_range,NearSMA20LowerSigma,0.21547927526144947,-0.059728575484491,0.27292416032992284,0.21303257113231377,Standard_range,AboveSMA20UpperSigma,0.4273470563568664,-0.24468963541402086,0.0655248614016574,-0.1793251065568327,Standard_range,NearSMA20UpperTwoSigma
2019-04-18,0.43843759341757294,1.7090157446370153,-0.10725341449166484,1.5999293524050273,Standard_range,NearSMA20UpperTwoSigma,0.0,0.6754657726096148,-1.1002861242795825,-0.4322524078402492,Standard_range,AboveSMA20LowerSigma,0.015183508509250475,0.531306981587998,1.4241772058818347,1.9630509403948677,Standard_range,NearSMA20UpperTwoSigma,0.06858867581731787,-0.9430713990716261,-0.30769282936030984,-1.2478624653612447,Standard_range,NearSMA20UpperSigma,-0.2565958709591958,-0.4308881028801072,1.0172650357690132,0.5819936588750183,Standard_range,NearSMA20UpperSigma,2.84241199592437,3.7878311695404254,0.018419979850453374,3.806948867129077,Above_upper_sigma,AboveSMA20UpperTwoSigma,0.5991927558868113,-0.7219173903814334,0.3622663269977631,-0.3622663269977631,Standard_range,NearSMA20UpperTwoSigma,0.08350485966267153,1.7222499040999526,-0.046946447221329395,1.6744949217363754,Standard_range,AboveSMA20UpperSigma,0.1562196006451412,0.5697507336158542,0.34117358874486736,0.9128681613854989,Standard_range,AboveSMA20UpperSigma,0.16060290164942684,0.18895094994791425,0.16655024719929995,0.3558158954214379,Standard_range,NearSMA20UpperTwoSigma,0.305404030739745,-0.17451930630525414,0.13106579258997833,-0.04368224882730732,Standard_range,NearSMA20UpperTwoSigma,0.6348542652684128,-0.045643406784880707,0.3790260635552066,0.33320965636231664,Standard_range,NearSMA20UpperTwoSigma,-0.46729052175131347,0.4499863996598471,-1.7179828550805558,-1.2757271446170593,Standard_range,NearSMA20LowerTwoSigma,0.22998358745959568,0.44936634166336176,-0.059728575484491,0.3893693660642884,Standard_range,NearSMA20UpperSigma,0.22456170981933216,0.19691718175950357,-0.24468963541402086,-0.048254289588632183,Standard_range,NearSMA20UpperSigma
2019-04-22,-0.9413211155628901,-1.1788478573730994,1.7090157446370153,0.5100211917760935,Standard_range,NearSMA20UpperTwoSigma,-1.1524205536892407,-1.2892345625958563,0.6754657726096148,-0.6224771281852299,Standard_range,AboveSMA20LowerSigma,-0.4152533517782855,-0.5813546924895997,0.531306981587998,-0.05313648897058823,Standard_range,NearSMA20UpperTwoSigma,-0.5019922333900046,0.2077184194805369,-0.9430713990716261,-0.7373119125958139,Standard_range,NearSMA20UpperSigma,-0.7536725781179545,-0.4278930599739878,-0.4308881028801072,-0.8569374225656173,Standard_range,NearSMA20UpperSigma,-0.47911840192297206,-0.48503021251108797,3.7878311695404254,3.284428831458154,Standard_range,NearSMA20UpperTwoSigma,-0.3926763584532657,0.2254199745220838,-0.7219173903814334,-0.49812476185681787,Standard_range,AboveSMA20LowerSigma,-0.46688402083602004,-0.5079295441809257,1.7222499040999526,1.2055725438314755,Standard_range,NearSMA20UpperTwoSigma,-0.721857545599295,-0.1553415520352023,0.5697507336158542,0.41352412194832106,Standard_range,NearSMA20UpperSigma,0.0754306453165447,-0.037718919732414195,0.18895094994791425,0.15116075995835557,Standard_range,NearSMA20UpperTwoSigma,-0.5994047776700355,0.1498440490057112,-0.17451930630525414,-0.02493676409440743,Standard_range,NearSMA20UpperSigma,-0.4524871686879437,0.8966763533489365,-0.045643406784880707,0.850623672928553,Standard_range,NearSMA20UpperSigma,0.17229233725656495,0.568569970971758,0.4499863996598471,1.0211148581735279,Standard_range,NearSMA20LowerSigma,-0.36149701156186137,-0.18451206464815195,0.44936634166336176,0.2640251419003728,Standard_range,NearSMA20UpperSigma,-0.29307482867928497,0.08620095492390861,0.19691718175950357,0.2832878811744981,Standard_range,NearSMA20UpperSigma
2019-04-23,-0.1246322330333421,1.4599834086311378,-1.1788478573730994,0.26392456812738757,Standard_range,NearSMA20UpperSigma,0.09862065302262459,-0.3065342039347233,-1.2892345625958563,-1.5918168216272752,Standard_range,AboveSMA20LowerSigma,1.298607844000658,1.275826266718271,-0.5813546924895997,0.6870544983590897,Standard_range,NearSMA20UpperTwoSigma,-1.036445811793154,-0.43185351984077514,0.2077184194805369,-0.22503213966612257,Standard_range,BelowSMA20UpperSigma,0.17579871691451457,0.6201798417968025,-0.4278930599739878,0.18963307532040857,Standard_range,NearSMA20UpperSigma,0.005940624411322667,2.121963830757687,-0.48503021251108797,1.6266414525688666,Standard_range,NearSMA20UpperTwoSigma,-0.29747054825693,1.5018443284699243,0.2254199745220838,1.7306497600946065,Standard_range,BelowSMA20UpperSigma,0.20111354854108898,0.6910047187207901,-0.5079295441809257,0.17956535742179724,Standard_range,NearSMA20UpperTwoSigma,-0.24251798095504407,0.4392819361947439,-0.1553415520352023,0.2832579967820464,Standard_range,NearSMA20UpperSigma,-1.8866144323154113,-2.688424126676891,-0.037718919732414195,-2.725129001870897,Below_lower_sigma,AboveSMA20LowerSigma,0.3740686573235436,0.7855422777872166,0.1498440490057112,0.936563415148616,Standard_range,AboveSMA20UpperSigma,0.3497185081481296,0.1810337115332516,0.8966763533489365,1.0793333513650967,Standard_range,NearSMA20UpperTwoSigma,-1.2849066536307756,-2.090110379185621,0.568569970971758,-1.533424148190076,Below_lower_sigma,NearSMA20LowerTwoSigma,0.14336019629248334,0.5319363274415041,-0.18451206464815195,0.34644277609297625,Standard_range,NearSMA20UpperSigma,0.14124907073671458,0.8991683494423159,0.08620095492390861,0.9861443960698173,Standard_range,NearSMA20UpperSigma
2019-04-24,-0.18425821025129097,0.043867177176268535,1.4599834086311378,1.504491039316015,Standard_range,NearSMA20UpperTwoSigma,1.0347109107647614,0.3850068134603395,-0.3065342039347233,0.07729243195488114,Standard_range,AboveSMA20LowerSigma,-0.18746250664053665,1.3047431652673531,1.275826266718271,2.597215688001316,Standard_range,AboveSMA20UpperSigma,-0.260231979129026,-2.879944248768033,-0.43185351984077514,-3.299360628001051,Standard_range,BelowSMA20UpperSigma,0.05338539612826219,0.32516290173362206,0.6201798417968025,0.947359338299978,Standard_range,NearSMA20UpperSigma,-0.023277624527742204,-0.3026624060591097,2.121963830757687,1.8128790379127024,Standard_range,NearSMA20UpperTwoSigma,-0.17869907856106232,-0.5003552385857382,1.5018443284699243,0.993974533111284,Standard_range,AboveSMA20UpperSigma,0.1587692441381802,1.2137716084456474,0.6910047187207901,1.91316354625529,Standard_range,NearSMA20UpperTwoSigma,-0.22779043280182232,-0.19134312936005127,0.4392819361947439,0.24709827103126417,Standard_range,NearSMA20UpperSigma,0.1550950242682186,0.5137638236547767,-2.688424126676891,-2.188472453611387,Standard_range,NearSMA20LowerSigma,0.055670132284995594,-0.10515784058784941,0.7855422777872166,0.6795583779031417,Standard_range,NearSMA20UpperTwoSigma,0.057496975847059775,0.7392450418336599,0.1810337115332516,0.9216170361034683,Standard_range,NearSMA20UpperTwoSigma,0.33245603085933145,-0.12248415215268402,-2.090110379185621,-2.210034477361304,Standard_range,NearSMA20LowerTwoSigma,-0.03752855726231408,-0.2101461781395982,0.5319363274415041,0.32067230543965136,Standard_range,NearSMA20UpperSigma,-0.030728058040914896,-0.2219318101774996,0.8991683494423159,0.6752409986703558,Standard_range,NearSMA20UpperTwoSigma
2019-04-25,1.0612232498612062,1.6312933389870043,0.043867177176268535,1.675876118502551,Standard_range,NearSMA20UpperTwoSigma,0.14649185614033178,1.9549343485160322,0.3850068134603395,2.347467792416835,Standard_range,AboveSMA20LowerSigma,0.19244596231677877,1.584011319739496,1.3047431652673531,2.9094217644382114,Standard_range,NearSMA20UpperTwoSigma,-0.3929996829262858,-1.1611248954927627,-2.879944248768033,-4.007629394612038,Standard_range,AboveSMA20LowerSigma,-0.34346299810103864,-0.10642473848877462,0.32516290173362206,0.21839210947701493,Standard_range,NearSMA20UpperSigma,-0.34444296865903934,-0.5079077303332071,-0.3026624060591097,-0.8090328906351301,Standard_range,NearSMA20UpperTwoSigma,-0.4885004961846998,0.32327367680152097,-0.5003552385857382,-0.17869907856106232,Standard_range,NearSMA20UpperSigma,-0.5768351775958249,0.15179263550928512,1.2137716084456474,1.3674066598684553,Standard_range,NearSMA20UpperTwoSigma,-9.832028649302563,-12.945043077104593,-0.19134312936005127,-13.111616755943906,Below_lower_sigma,BelowSMA20LowerTwoSigma,-0.5690075739158604,-0.3954129158604738,0.5137638236547767,0.11631941927855337,Standard_range,NearSMA20LowerSigma,-0.6006571228608854,-0.29104043886048436,-0.10515784058784941,-0.3958922276075907,Standard_range,NearSMA20UpperSigma,-0.24053012925088607,0.130460814944655,0.7392450418336599,0.870670281884329,Standard_range,NearSMA20UpperTwoSigma,-0.45550477906434333,-2.1548761693704273,-0.12248415215268402,-2.2747209397171178,Standard_range,NearSMA20LowerTwoSigma,-0.6994644160719232,-0.5227190802678138,-0.2101461781395982,-0.7317667842378227,Standard_range,BelowSMA20UpperSigma,-0.037647012628614675,-0.06160325311961108,-0.2219318101774996,-0.2833983460823341,Standard_range,NearSMA20UpperSigma
2019-04-26,0.6127020204530843,1.4842951859428066,1.6312933389870043,3.1398017334290005,Standard_range,AboveSMA20UpperTwoSigma,0.2847510162560968,-0.5250729655545331,1.9549343485160322,1.4195965512031017,Standard_range,BelowSMA20UpperSigma,1.063823518391543,1.952778030101974,1.584011319739496,3.567721574887671,Standard_range,NearSMA20UpperTwoSigma,-0.05422482017215708,-0.14459032786401504,-1.1611248954927627,-1.304036349063474,Standard_range,AboveSMA20LowerSigma,-0.30023976619249393,-1.3995154429290118,-0.10642473848877462,-1.504450750767539,Standard_range,NearSMA20UpperSigma,-0.1525610313516098,1.0738187130130825,-0.5079077303332071,0.5604569744267175,Standard_range,NearSMA20UpperTwoSigma,0.164705332173964,0.5299001256760469,0.32327367680152097,0.8548868300972167,Standard_range,NearSMA20UpperTwoSigma,0.2728280527986654,-0.2576640861455155,0.15179263550928512,-0.10626256574335154,Standard_range,NearSMA20UpperTwoSigma,-0.0996237626835883,0.49811081279453295,-12.945043077104593,-12.511412923598028,Standard_range,BelowSMA20LowerTwoSigma,0.6487201557554938,2.4980653190827353,-0.3954129158604738,2.092774730303977,Standard_range,AboveSMA20LowerSigma,0.14904373867045367,1.1861808176879893,-0.29104043886048436,0.8916881129700269,Standard_range,NearSMA20UpperSigma,0.1791467938246799,0.43564678261092055,0.130460814944655,0.5666759458984499,Standard_range,NearSMA20UpperTwoSigma,0.3760123633078287,1.3070785620018568,-2.1548761693704273,-0.8759635318160979,Standard_range,NearSMA20LowerTwoSigma,-0.04157764793030645,0.3062025336754145,-0.5227190802678138,-0.21811712566018418,Standard_range,BelowSMA20UpperSigma,0.017126626480920268,0.4656791391837778,-0.06160325311961108,0.40378901256533006,Standard_range,NearSMA20UpperSigma
2019-04-29,-0.3061229719580294,-0.7142826095150497,1.4842951859428066,0.7594105140406984,Standard_range,NearSMA20UpperTwoSigma,-0.6040122531932298,-0.456950212166031,-0.5250729655545331,-0.9796238556904362,Standard_range,AboveSMA20LowerSigma,1.622358706523165,-0.44310686485207906,1.952778030101974,1.50101827174319,Standard_range,NearSMA20UpperTwoSigma,-0.36199233111213236,0.4524886877828055,-0.14459032786401504,0.3072441050415777,Standard_range,NearSMA20LowerSigma,-0.14734200228799837,-0.7121442679120462,-1.3995154429290118,-2.101693141835695,Standard_range,BelowSMA20UpperSigma,-0.20319657678701014,0.1741672288869739,1.0738187130130825,1.249856182195781,Standard_range,NearSMA20UpperTwoSigma,-0.02848727566542135,-0.39176797075929515,0.5299001256760469,0.13605617594733976,Standard_range,NearSMA20UpperTwoSigma,0.2836579697029957,-0.15196183494089596,-0.2576640861455155,-0.409234370013121,Standard_range,NearSMA20UpperTwoSigma,-0.07825632489034254,-0.7617214321623943,0.49811081279453295,-0.2674048361848355,Standard_range,NearSMA20LowerTwoSigma,-0.27394758535358055,-1.020217102614563,2.4980653190827353,1.452362526848407,Standard_range,NearSMA20UpperSigma,0.171861566730163,0.748788605871258,1.1861808176879893,1.9438514103671252,Standard_range,NearSMA20UpperTwoSigma,0.08108164949320876,0.18242752569833023,0.43564678261092055,0.6188690479555523,Standard_range,NearSMA20UpperTwoSigma,0.30045628038846534,0.45952335298529384,1.3070785620018568,1.7726082462214137,Standard_range,NearSMA20LowerTwoSigma,-0.007533358689890267,0.0376897960714052,0.3062025336754145,0.3440077368573274,Standard_range,NearSMA20UpperSigma,0.03408408106998012,0.15677429172041818,0.4656791391837778,0.623183496076341,Standard_range,NearSMA20UpperTwoSigma
2019-04-30,0.24837350995330995,0.40253615288113287,-0.7142826095150497,-0.31462170237095766,Standard_range,NearSMA20UpperTwoSigma,0.11872107150072851,-0.3587878631736833,-0.456950212166031,-0.8140985934377163,Standard_range,AboveSMA20LowerSigma,-0.12922320935156723,-1.6726502369055658,-0.44310686485207906,-2.108345473732952,Standard_range,NearSMA20UpperSigma,0.46846544420396957,2.2162153914168075,0.4524886877828055,2.6787322031426752,Standard_range,NearSMA20LowerSigma,-0.30174149154203306,0.7617695183201749,-0.7121442679120462,0.04420035244871029,Standard_range,AboveSMA20LowerSigma,0.26658443752107425,0.6259065847311124,0.1741672288869739,0.8011639377721336,Standard_range,NearSMA20UpperTwoSigma,0.25029041238668026,0.9725405076995564,-0.39176797075929515,0.5769624347284346,Standard_range,NearSMA20UpperTwoSigma,0.8776435821742021,0.22829353600770866,-0.15196183494089596,0.07598478202044394,Standard_range,NearSMA20UpperTwoSigma,0.3417243433791519,-0.3680207046542095,-0.7617214321623943,-1.1269388442344574,Standard_range,NearSMA20LowerTwoSigma,0.07635219697148421,1.622451419585831,-1.020217102614563,0.5856817901070407,Standard_range,BelowSMA20UpperSigma,0.5056362241341903,0.17057495565515934,0.748788605871258,0.9206408073588331,Standard_range,NearSMA20UpperTwoSigma,1.6023920110210643,2.8770284748398356,0.18242752569833023,3.064704492398452,Standard_range,AboveSMA20UpperTwoSigma,0.2639013467210147,0.6157608606289764,0.45952335298529384,1.0781137785674033,Standard_range,NearSMA20LowerSigma,0.21474055115131885,0.1318588382671847,0.0376897960714052,0.16959833166583493,Standard_range,NearSMA20UpperSigma,-0.1293105417791851,0.05104090209160737,0.15677429172041818,0.20789521282476736,Standard_range,NearSMA20UpperTwoSigma
2019-05-01,0.2047239246754969,-0.17914075565431314,0.40253615288113287,0.22267429092076668,Standard_range,NearSMA20UpperTwoSigma,0.22240364649866068,-0.23564686454086753,-0.3587878631736833,-0.5935892553646288,Standard_range,AboveSMA20LowerSigma,0.3796482936603336,-0.4307485819029449,-1.6726502369055658,-2.096193901632844,Standard_range,NearSMA20UpperSigma,0.1586464891840589,-1.0576387783581525,2.2162153914168075,1.1351370596670889,Standard_range,AboveSMA20LowerSigma,-0.24545901202298212,-2.4054953214993944,0.7617695183201749,-1.66205013330302,Standard_range,BelowSMA20UpperSigma,0.07486587592459665,-1.549272801795867,0.6259065847311124,-0.9330632175466431,Standard_range,NearSMA20UpperTwoSigma,-0.1770538281892734,0.5311614845678202,0.9725405076995564,1.508867752866097,Standard_range,NearSMA20UpperTwoSigma,-0.8604606691345995,-1.7209136150376878,0.22829353600770866,-1.4965488135733866,Standard_range,NearSMA20UpperSigma,-0.010547735872148094,-1.8152009299399547,-0.3680207046542095,-2.1765413193409096,Standard_range,NearSMA20LowerTwoSigma,-0.309919065224371,-1.455675246893089,1.622451419585831,0.14315854898496577,Standard_range,NearSMA20UpperSigma,0.6750596970105281,-0.9973845786651255,0.17057495565515934,-0.8285109113127356,Standard_range,NearSMA20UpperTwoSigma,0.25959266404203174,-2.1593790806111763,2.8770284748398356,0.6555234431997408,Standard_range,AboveSMA20UpperTwoSigma,0.06994390013618493,-1.171530311302371,0.6157608606289764,-0.5629832758007995,Standard_range,NearSMA20LowerSigma,0.2558383136762354,-0.6170339725770078,0.1318588382671847,-0.48598874813777704,Standard_range,NearSMA20UpperTwoSigma,0.23808320290723486,-0.7516466694975006,0.05104090209160737,-0.7009894146465463,Standard_range,NearSMA20UpperTwoSigma
