,XOP,UNG
DVN,1.0253079767039246,0.10552021255109373
CNX,0.6337477430069189,0.211438095819448
EQT,0.5490853428305524,0.2592388393620328
SWN,0.650461986746824,0.28093591053299544
AR,0.7529753291261861,0.2299317075253956
EOG,0.8454929982188424,0.0859848846715054
RRC,0.7567980278027121,0.34144404783220567
