,XOP,UNG
RRC,0.7989806184031206,0.4524917655626583
SWN,0.7619624407593482,0.4130942392159374
DVN,0.9240139863143493,0.16455297044603362
AR,0.786575118292669,0.3272015680779825
CNX,0.8290702646720296,0.3619233893731747
EQT,0.7471361999427348,0.4744109759202072
EOG,0.894241977790888,0.1824662236713838
