,STLD,NUE,CLF,X,TECK
STLD,1,0.9257075564423934,0.5595507726142901,0.5310559766593467,0.6651768618009166
NUE,0.8307013182412446,1,0.5254267830408144,0.5099103216041567,0.6270086163294811
CLF,1.0494768323261312,1.0962799117999305,1,0.7293558489652265,0.8728726452388043
X,1.0305715276373077,1.1083286556235992,0.769746270402568,1,0.8185181517743668
TECK,0.982990459521313,1.0266970586858397,0.6870791745989946,0.6036186200848463,1
