,STLD,TECK,CLF,NUE,X
STLD,1,0.847365028554386,0.7982601175333431,0.9005733126152041,0.7801831237772212
TECK,0.8481457381709857,1,0.8109347475764392,0.8385734354340046,0.7448471019968104
CLF,0.8531795736945602,0.8624379507932037,1,0.8304828441523608,0.8233486065512626
NUE,0.9186346259953142,0.8598392514231307,0.8044621070926866,1,0.8081601520822889
X,0.8430498069661967,0.8356046512086326,0.8244045762709543,0.8698029810420469,1
