,KWEB,XLE,BBL
TECK,0.6479744975368161,0.9459128782185301,0.7410851128759602
CLF,0.6783581807873234,0.9630502020707239,0.7354958707237823
STLD,0.5202494178742538,0.7383441947812898,0.5641768623759683
NUE,0.48632106420848165,0.693605885810314,0.52980918708788
X,0.6370672581297594,0.9302805816079044,0.7094820983574999
