,KWEB,XLE,BBL
CLF,0.5771233063151013,0.8118922915514625,0.7850496166092037
TECK,0.5927572692358244,0.8310004431186876,0.8305840053738759
STLD,0.5669418865435247,0.8006942730259802,0.766047642295773
X,0.5578660791776598,0.800942086441078,0.7796129948073649
NUE,0.5904321832518533,0.8166397768485455,0.7947975474153368
