,mae,mae_main_etf,r2_score,r2_score_main_etf,shapiro_normal,pearson_normal,ks_normal,chisquare_normal,shapiro_normal_main_etf,pearson_normal_main_etf,ks_normal_main_etf,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
MS,0.3530558526149773,0.3449239726094376,0.6099593000432092,0.6321159851978764,False,False,False,True,False,False,False,True,63,58,0.8099328686351516,0.8223093010648758,1.691659209534666,0.0929017785022236,-1.5987574310324424,1.7845609880368898,-3.2904166405671087,3.4762201975715556,0.9333439430361223,0.9294240113397143
USB,0.29369804580620684,0.30024429806736436,0.5978758779257279,0.5561044679784348,False,False,False,True,False,False,False,True,64,63,0.6561987148982411,0.6580917126723597,1.6932424607265184,0.06609320683821321,-1.6271492538883052,1.7593356675647316,-3.3203917146148236,3.45257812829125,0.9428488170011794,0.9326332089130407
CFG,0.3379355158887575,0.393030781417667,0.6878249979633662,0.627783746586668,False,False,False,True,False,False,False,True,60,64,0.7814357905121544,0.8517568025211093,2.0307414725845354,0.11513074575869085,-1.9156107268258447,2.1458722183432264,-3.94635219941038,4.176613690927762,0.9245128027767321,0.904629599809927
BXS,0.40135970484004097,0.4430770281082304,0.6567789454920681,0.6061562506828444,False,False,False,True,False,False,False,True,73,74,0.7892985670117106,0.8426487103457698,1.5664437321546505,0.04992771465927179,-1.5165160174953787,1.6163714468139223,-3.0829597496500294,3.1828151789685726,0.8362049055509824,0.8097018824368396
FBP,0.4456492758486144,0.4069842995399419,0.64262676551157,0.6956349714513786,False,False,False,True,False,False,False,True,79,87,0.8212139051530968,0.7271071340219998,2.002251650133728,0.052041171117814165,-1.9502104790159138,2.054292821251542,-3.952462129149642,4.05654447138527,0.870446628559944,0.8546626789614253
JPM,0.28620683262545205,0.3036332713178168,0.7427154595243921,0.6908933930887857,False,False,False,True,False,False,False,True,66,65,0.6259697633607755,0.6778105677675111,1.6663349304476969,0.0494935222872701,-1.6168414081604268,1.715828452734967,-3.283176338608124,3.3821633831826636,0.9457450021606104,0.9398314595205745
SBNY,0.6461447676697897,0.6467673371285682,0.35517144799516676,0.343419209710912,False,False,False,True,False,False,False,True,73,67,1.2652486315199905,1.325255081824131,1.6689993816767927,0.136552597438184,-1.5324467842386087,1.8055519791149768,-3.2014461659154017,3.4745513607917693,0.8092527061149184,0.8405867930087222
WFC,0.3516086541232295,0.35259496090544634,0.7206739961059887,0.6796636185073446,False,False,False,True,False,False,False,True,67,55,0.7686069087635627,0.886557854542098,1.7151575444638005,0.0867083807142417,-1.6284491637495588,1.8018659251780422,-3.3436067082133594,3.5170234696418428,0.8995071827917762,0.8884168809115572
CADE,0.5353469376122856,0.5845893758286609,0.5151128432328888,0.44302247311634124,False,False,False,False,False,False,False,False,67,65,1.1446454003797144,1.249633482442504,2.228118977312556,0.08902377691305212,-2.139095200399504,2.3171427542256082,-4.36721417771206,4.545261731538164,0.84780505865268,0.8277203568012077
CMA,0.3690255918607244,0.4335624894172163,0.766824291440558,0.6821965133104189,False,False,False,True,False,False,False,True,66,69,0.7854718934290298,0.8667432080549754,2.072200130723694,0.09062272495429803,-1.981577405769396,2.1628228556779923,-4.05377753649309,4.235022986401686,0.906031861284438,0.8750490777420914
RF,0.3120868671787338,0.3496012585549411,0.6637936469471908,0.620864051553405,False,False,False,True,False,False,False,True,63,68,0.7084577356105595,0.7579680022699504,1.8579474304896755,0.07845550400716562,-1.7794919264825098,1.9364029344968412,-3.6374393569721852,3.7943503649865167,0.9203594955288585,0.9053804758268771
JEF,0.4101075311810269,0.41175840478290565,0.3610734130384423,0.38953822651936976,False,False,False,True,False,False,False,True,56,57,1.001442423414204,0.9999558167514214,1.6487490975075223,0.08350795766607733,-1.565241139841445,1.7322570551735996,-3.213990237348967,3.381006152681122,0.9041928418653568,0.8931935897238567
ZION,0.4718941371317049,0.5523670121105756,0.5999748070842641,0.48665473583174057,False,False,False,True,False,False,False,True,70,72,0.9658940424491451,1.0701615930074366,1.5470606374638354,0.048575098682622865,-1.4984855387812126,1.5956357361464582,-3.0455461762450478,3.1426963736102937,0.8595096033389017,0.8144301882421606
ONB,0.4156236720219771,0.4744221310766393,0.5840136702874549,0.49564626403131895,False,False,False,True,False,False,False,True,69,73,0.8683267612889388,0.9407905623690193,1.3767691793518881,0.040156813960010924,-1.336612365391877,1.4169259933118992,-2.7133815447437653,2.7936951726637873,0.8179507221668514,0.7889565667421078
HBAN,0.3900401959973971,0.41320609230410055,0.6288397399638836,0.6069822004165762,False,False,False,True,False,False,False,True,72,77,0.7874417655331069,0.7816390167494871,1.7215716652624886,0.10464705418499017,-1.6169246110774984,1.8262187194474788,-3.338496276339987,3.5477903847099674,0.8875068515277138,0.8695295460916975
FNB,0.3355599778891934,0.376759126205937,0.7343019683456713,0.6895355939598442,False,False,False,True,False,False,False,True,69,80,0.7143282419073715,0.6893133610011596,1.8571134677024246,0.07853089387408244,-1.778582573828342,1.935644361576507,-3.6356960415307666,3.7927578292789317,0.9239348128134908,0.9004822825250983
FRC,0.30544302420754177,0.3136143156242029,0.5685362929367139,0.5833435727139687,False,False,False,True,False,False,False,True,68,69,0.6334354690257128,0.6380198097927817,1.3704266902750992,0.05542088310123002,-1.3150058071738693,1.4258475733763292,-2.6854324974489683,2.7962742636514286,0.9098872064952979,0.9037998819976635
ASB,0.41220740952389545,0.42882107939992387,0.5830903397253262,0.5765923359394116,False,False,False,True,False,False,False,True,76,73,0.8273110445695323,0.8170450488091543,1.8732784862733256,0.0718061288088565,-1.801472357464469,1.9450846150821821,-3.6747508437377947,3.8183631013555077,0.8940324408712341,0.8502182895922163
KEY,0.32148314601585043,0.34568747916767795,0.7518411511856655,0.6915744123727913,False,False,False,True,False,False,False,True,69,73,0.6698159163535576,0.6842297779492813,2.038831067534829,0.09388294670974227,-1.9449481208250867,2.1327140142445713,-3.9837791883599154,4.1715450817794,0.9450075365123235,0.9290455373745029
GS,0.3373805935779244,0.32273196651203356,0.6109226575343634,0.6547925993969885,False,False,False,True,False,False,False,True,68,72,0.7175219232688681,0.6695141263886012,1.4672398033806726,0.06722291702170755,-1.400016886358965,1.5344627204023802,-2.8672566897396377,3.001702523783053,0.9093696474919906,0.9085773370563023
BNS,0.28699348138352526,0.2814653268158216,0.32251309969744935,0.26111419810903913,False,False,False,True,False,False,False,True,76,76,0.5426300523262052,0.5505581834433995,1.1931766208492667,0.07306313918807324,-1.1201134816611935,1.2662397600373398,-2.31329010251046,2.4594163808866067,0.892570146216081,0.8850333981524101
PNC,0.2906740640077508,0.3380028968512823,0.6594058775110847,0.6014570989947052,False,False,False,True,False,False,False,True,65,72,0.64015344592274,0.6776693504126005,1.6407430813691146,0.04990885812995318,-1.5908342232391615,1.6906519394990678,-3.231577304608276,3.3313950208681824,0.9399022073261057,0.9285345904393529
VIRT,0.47646298068176984,0.41641051619124847,-0.1046303244290272,0.024107115518940403,False,False,False,True,False,False,False,True,70,64,0.9925087898777796,0.9499701133025157,0.6669514787646103,0.08680655517025261,-0.5801449235943577,0.7537580339348628,-1.247096402358968,1.420709512699473,0.11144814289699867,0.03507980287916379
FHN,0.38177297300666463,0.4096413526919492,0.6647263060948166,0.5939715996636921,False,False,False,True,False,False,False,True,71,76,0.7840189439743854,0.8227720564520504,1.7913504275995749,0.1531249921052638,-1.638225435494311,1.9444754197048386,-3.429575863093886,3.7358258473044135,0.8787885242604612,0.852163000749177
NYCB,0.4005853144803251,0.40223061430819373,0.4082949210655642,0.4043059755283457,False,False,False,True,False,False,False,True,68,68,0.8273845975321591,0.838933116743344,1.2707986518866636,0.06998571043161528,-1.2008129414550484,1.340784362318279,-2.471611593341712,2.6115830142049425,0.8376227965467528,0.8316510406923393
PBCT,0.4453862026522223,0.46952878432669737,0.36216506867265885,0.30039476853158986,False,False,False,False,False,False,False,False,63,65,0.9678495359869954,1.0203659958884979,1.4697109822274357,0.07590188783107835,-1.3938090943963573,1.545612870058514,-2.863520076623793,3.01532385228595,0.874079344661632,0.8590453608737955
FITB,0.36706805464595504,0.3729013866994447,0.7003601872646308,0.6662588131079926,False,False,False,True,False,False,False,True,75,77,0.7199912903118039,0.720107442201592,1.815598402107087,0.11012484661899019,-1.7054735554880969,1.9257232487260771,-3.5210719575951837,3.7413216508331644,0.9042777994356346,0.8939473906778397
VLY,0.4087861436863352,0.47375529877429623,0.6338488665452481,0.5588711909543936,False,False,False,True,False,False,False,True,67,72,0.879318771839646,0.9361203727035127,1.5563183203093673,0.08302871154571441,-1.473289608763653,1.6393470318550818,-3.0296079290730202,3.195665352164449,0.8430586051190009,0.8186802343509575
C,0.36009934876449917,0.35130778583707256,0.6529450929534144,0.6343218442728027,False,False,False,True,False,False,False,True,66,65,0.7807652741088464,0.7901771552341577,1.9816428330580518,0.11443606946137387,-1.8672067635966778,2.0960789025194257,-3.8488495966547296,4.0777217355774775,0.9318616865292929,0.9299643361712104
TD,0.2584662591599296,0.270613709140558,0.43085196248429625,0.2872560661749335,False,False,False,True,False,False,False,True,70,78,0.5083445806986325,0.5257958973830628,1.2321618356102952,0.042507862869558787,-1.1896539727407365,1.274669698479854,-2.4218158083510315,2.5068315340901495,0.8975836997721072,0.8850980572194787
UMPQ,0.42810880434408005,0.45089293370256983,0.5932258665253323,0.5447155467904531,False,False,False,True,False,False,False,True,69,72,0.9029262788882265,0.9394727046403725,1.5681155758634842,0.0788115658742579,-1.4893040099892263,1.646927141737742,-3.0574195858527102,3.2150427176012264,0.8906408139796741,0.8843949013897587
ISBC,0.5239100201307955,0.551844741712061,0.29871523502171227,0.27821198467634123,False,False,False,False,False,False,False,False,70,69,1.090437812707428,1.1646033879867839,1.4033099135187397,0.0698004371401438,-1.333509476378596,1.4731103506588834,-2.7368193898973354,2.8764202641776233,0.8526700062823852,0.8123980291340044
STL,0.35565413584346617,0.3764260489602447,0.7678659176561741,0.7136633987705434,False,False,False,True,False,False,False,True,82,80,0.6415294176610807,0.6938664406572782,2.0777369728683404,0.11547341304047488,-1.9622635598278655,2.1932103859088152,-4.040000532696205,4.270947358777156,0.8938121733450156,0.8626769983780282
