Date,%Gap_MARA,%Gain_MARA,%YesterdaysGain_MARA,%2DaysGain_MARA,NearSigmaFlag_MARA,NearBollingerBandsFlag_MARA,%Gap_RIOT,%Gain_RIOT,%YesterdaysGain_RIOT,%2DaysGain_RIOT,NearSigmaFlag_RIOT,NearBollingerBandsFlag_RIOT,%Gap_COIN,%Gain_COIN,%YesterdaysGain_COIN,%2DaysGain_COIN,NearSigmaFlag_COIN,NearBollingerBandsFlag_COIN,%Gap_MSTR,%Gain_MSTR,%YesterdaysGain_MSTR,%2DaysGain_MSTR,NearSigmaFlag_MSTR,NearBollingerBandsFlag_MSTR,%Gap_QQQ,%Gain_QQQ,%YesterdaysGain_QQQ,%2DaysGain_QQQ,NearSigmaFlag_QQQ,NearBollingerBandsFlag_QQQ
2021-05-12,-4.238922347319135,-11.94605121513907,-6.7217791243637945,-17.864843162737838,Standard_range,NearSMA20LowerTwoSigma,-5.410114106953151,-11.215267115324604,-0.2671115915464273,-11.452421428383104,Below_lower_sigma,NearSMA20LowerTwoSigma,-1.1419113713129125,-6.399344768461221,3.254383164322774,-3.3532208029102195,Standard_range,AboveSMA20LowerSigma,-3.5843025319285173,-6.0801469346010055,1.3170371423123584,-4.843187585724509,Below_lower_sigma,NearSMA20LowerTwoSigma,-1.561583292979054,-2.588295156419106,-0.1381422499818433,-2.722861877235701,Below_lower_sigma,BelowSMA20LowerTwoSigma
2021-05-13,-6.477021958549016,-13.960614795632814,-11.94605121513907,-24.23892381733731,Below_lower_sigma,NearSMA20LowerTwoSigma,-6.070892091105671,-16.17647376122671,-11.215267115324604,-25.577506134389346,Below_lower_sigma,NearSMA20LowerTwoSigma,-2.5210656414728323,-6.526561194628579,-6.399344768461221,-12.508248810720914,Below_lower_sigma,NearSMA20LowerSigma,-5.661768730960294,-9.92840072077982,-6.0801469346010055,-15.404886303301426,Below_lower_sigma,NearSMA20LowerTwoSigma,0.9561673259595764,0.773133130171732,-2.588295156419106,-1.8351729936082806,Standard_range,NearSMA20LowerTwoSigma
2021-05-14,7.9857563937411795,17.395727888289503,-13.960614795632814,1.0065625312761193,Above_upper_sigma,NearSMA20LowerTwoSigma,8.187133298704188,17.04903730801459,-16.17647376122671,-1.8853694998848542,Above_upper_sigma,NearSMA20LowerTwoSigma,5.760086255037386,-2.538668740618665,-6.526561194628579,-8.899542166361861,Above_upper_sigma,NearSMA20LowerSigma,2.7003818136288054,6.808312551329751,-9.92840072077982,-3.7960447218692335,Standard_range,NearSMA20LowerTwoSigma,1.02085858427067,2.2076840957583395,0.773133130171732,2.9978855630839116,Standard_range,NearSMA20LowerTwoSigma
2021-05-17,-10.918546213578242,-3.1195810907042625,17.395727888289503,13.733472959791793,Below_lower_sigma,NearSMA20LowerTwoSigma,-10.06918060392137,-6.571871490152378,17.04903730801459,9.356724995671357,Below_lower_sigma,NearSMA20LowerTwoSigma,-3.239538365664777,-3.9207298894861236,-2.538668740618665,-6.359864285996313,Below_lower_sigma,NearSMA20LowerTwoSigma,-7.1569695063061225,-6.130707564549616,6.808312551329751,0.26020725417758134,Below_lower_sigma,NearSMA20LowerTwoSigma,-0.5392351746792097,-0.606639571514111,2.2076840957583395,1.5876518389053351,Standard_range,NearSMA20LowerSigma
2021-05-18,-1.3416866557252716,2.8175274757145896,-3.1195810907042625,-0.38994866934746236,Standard_range,NearSMA20LowerTwoSigma,-4.566016978149285,5.141917019583708,-6.571871490152378,-1.7678746492259847,Below_lower_sigma,NearSMA20LowerTwoSigma,-3.7906878238320583,-3.7222064488789814,-3.9207298894861236,-7.496998677575527,Below_lower_sigma,NearSMA20LowerTwoSigma,-0.08991569141069414,-0.43935707973190763,-6.130707564549616,-6.5431289465590154,Standard_range,NearSMA20LowerTwoSigma,0.3020902485327979,-0.6750724135151074,-0.606639571514111,-1.2776167286324602,Standard_range,NearSMA20LowerSigma
2021-05-19,-15.397994969212373,-5.567641145666929,2.8175274757145896,-2.906983488980696,Below_lower_sigma,NearSMA20LowerTwoSigma,-14.123625893705908,-5.555555970124459,5.141917019583708,-0.6993010285010784,Below_lower_sigma,NearSMA20LowerTwoSigma,-10.907952855321652,-5.941421317256145,-3.7222064488789814,-9.442475798709147,Below_lower_sigma,BelowSMA20LowerTwoSigma,-13.208129000655838,-6.637936380372297,-0.43935707973190763,-7.04812921666894,Below_lower_sigma,NearSMA20LowerTwoSigma,-1.725528377360242,0.11482686232567962,-0.6750724135151074,-0.5610207156602933,Below_lower_sigma,NearSMA20LowerTwoSigma
2021-05-20,8.106864592825401,0.8291124494082727,-5.567641145666929,-4.784690702135759,Above_upper_sigma,NearSMA20LowerSigma,7.995030463850748,0.16570387961357252,-5.555555970124459,-5.399057862287485,Above_upper_sigma,NearSMA20LowerSigma,5.026691680763046,3.825618651235754,-5.941421317256145,-2.3430987880818392,Above_upper_sigma,NearSMA20LowerTwoSigma,5.012535515280527,3.913296153494178,-6.637936380372297,-2.9844023359226197,Above_upper_sigma,NearSMA20LowerTwoSigma,0.47428587267607253,1.9343408987298674,0.11482686232567962,2.0513889040162407,Standard_range,NearSMA20LowerSigma
2021-05-21,0.22842003564797342,-4.568296152958733,0.8291124494082727,-3.7770600156804814,Standard_range,NearSMA20LowerSigma,1.116627189230753,-5.541770619006405,0.16570387961357252,-5.385249668307812,Standard_range,NearSMA20LowerSigma,1.10111713428688,-3.877458453140569,3.825618651235754,-0.20017657568207814,Standard_range,NearSMA20LowerTwoSigma,-0.196757218418268,-4.684131188782527,3.913296153494178,-0.9541389609235972,Standard_range,BelowSMA20LowerSigma,0.486575485464127,-0.553470450068171,1.9343408987298674,1.3701644433836435,Standard_range,AboveSMA20LowerSigma
2021-05-24,1.7711864530582218,10.818574891877358,-4.568296152958733,5.756054198328031,Standard_range,NearSMA20LowerSigma,2.6707557192483042,13.61646492808444,-5.541770619006405,7.320101056346139,Standard_range,NearSMA20LowerSigma,1.305991796777297,0.4234441374625527,-3.877458453140569,-3.470433186180386,Standard_range,NearSMA20LowerTwoSigma,3.214066265523393,4.867713692653474,-4.684131188782527,-0.044427591387272286,Above_upper_sigma,NearSMA20LowerSigma,0.721685967121909,1.6819057018902774,-0.553470450068171,1.1191264007641322,Standard_range,AboveSMA20LowerSigma
2021-05-25,-3.239740874119354,-2.289411611361962,10.818574891877358,8.281481570756865,Standard_range,NearSMA20LowerSigma,-3.7379622049508154,-3.121392483532475,13.61646492808444,10.0700491317639,Standard_range,NearSMA20LowerSigma,2.086106029551391,7.594318854234913,0.4234441374625527,8.049920689665937,Standard_range,NearSMA20LowerSigma,-1.7885515903698284,-0.5884217816632662,4.867713692653474,4.250649223353629,Standard_range,NearSMA20LowerSigma,0.46915807427672307,0.13833913012193447,1.6819057018902774,1.8225715657296784,Standard_range,NearSMA20UpperSigma
