Date,%Gap_CCJ,%Gain_CCJ,%YesterdaysGain_CCJ,%2DaysGain_CCJ,NearSigmaFlag_CCJ,NearBollingerBandsFlag_CCJ,%Gap_NXE,%Gain_NXE,%YesterdaysGain_NXE,%2DaysGain_NXE,NearSigmaFlag_NXE,NearBollingerBandsFlag_NXE,%Gap_URNM,%Gain_URNM,%YesterdaysGain_URNM,%2DaysGain_URNM,NearSigmaFlag_URNM,NearBollingerBandsFlag_URNM,%Gap_XLE,%Gain_XLE,%YesterdaysGain_XLE,%2DaysGain_XLE,NearSigmaFlag_XLE,NearBollingerBandsFlag_XLE
2020-01-03,-0.2237081099336919,1.2304319408798703,0.4494377928932187,1.6853997599312325,Standard_range,AboveSMA20LowerSigma,3.225803350434739,0.0,-3.124997089616889,-3.124997089616889,Above_upper_sigma,NearSMA20UpperTwoSigma,-0.15243524591313845,0.3429883893785259,0.3096424678359452,0.6536928949277335,Standard_range,NearSMA20UpperTwoSigma,0.9078891060359868,-0.29712825971475787,0.8994019108812014,0.599601273920801,Standard_range,NearSMA20UpperSigma
2020-01-06,0.5524882837688098,1.657454313468842,1.2304319408798703,2.9082801016271245,Standard_range,BelowSMA20UpperSigma,0.0,2.419352512826054,0.0,2.419352512826054,Standard_range,BelowSMA20UpperSigma,-0.018986558226675294,0.41777672111775316,0.3429883893785259,0.7621980361432392,Standard_range,NearSMA20UpperTwoSigma,0.34768059464813145,0.778141381013848,-0.29712825971475787,0.4787010433555633,Standard_range,BelowSMA20UpperSigma
2020-01-07,-0.6521681215901607,-2.065212873069367,1.657454313468842,-0.4419885194475265,Standard_range,NearSMA20UpperSigma,-1.57480167140813,-2.3622025071121953,2.419352512826054,0.0,Standard_range,NearSMA20UpperSigma,-0.7034826785839885,-1.985626353728762,0.41777672111775316,-1.576145117285267,Standard_range,NearSMA20UpperSigma,-0.279280716162892,-0.2628550192536617,0.778141381013848,0.5132409780833016,Standard_range,BelowSMA20UpperSigma
2020-01-08,0.0,-1.2208724479157294,-2.065212873069367,-3.2608717060269834,Standard_range,BelowSMA20UpperSigma,0.0,-1.6129016752173695,-2.3622025071121953,-3.9370041785203256,Standard_range,BelowSMA20UpperSigma,-0.6367004040060871,-0.72931150568002,-1.985626353728762,-2.7004564579512236,Standard_range,AboveSMA20LowerSigma,-0.09882648574951985,-1.6471751195525262,-0.2628550192536617,-1.9057004563285467,Standard_range,AboveSMA20LowerSigma
2020-01-09,0.0,-3.2584266773363892,-1.2208724479157294,-4.439517891712983,Standard_range,AboveSMA20LowerSigma,-0.8196713302251447,-2.459013990675489,-1.6129016752173695,-4.0322541880434235,Standard_range,AboveSMA20LowerSigma,0.11272381560477505,-1.239991628010236,-0.72931150568002,-1.9602597320777084,Standard_range,AboveSMA20LowerSigma,-0.050240796779171384,0.7368990925351913,-1.6471751195525262,-0.9224140455257829,Standard_range,NearSMA20LowerSigma
2020-01-10,0.4645756498028021,3.9488985615024146,-3.2584266773363892,0.5617999199770775,Standard_range,NearSMA20LowerTwoSigma,0.8403352926397583,0.8403352926397583,-2.459013990675489,-1.6393426604503258,Standard_range,NearSMA20LowerSigma,0.07084523690214704,0.3660424823684686,-1.239991628010236,-0.8784880417780974,Standard_range,NearSMA20LowerSigma,-0.04987962299756938,-0.5652537721742353,0.7368990925351913,0.16747997044328303,Standard_range,NearSMA20LowerSigma
2020-01-13,0.22346880659111507,1.6759840826958388,3.9488985615024146,5.691065555530839,Standard_range,BelowSMA20UpperSigma,-0.8333325054910776,0.8333325054910962,0.8403352926397583,1.6806705852795354,Standard_range,NearSMA20LowerSigma,0.7843167174096201,0.8235258214613971,0.3660424823684686,1.1925827581896884,Standard_range,AboveSMA20LowerSigma,-0.15047676061094598,0.03343998880528927,-0.5652537721742353,-0.5320028041670826,Standard_range,NearSMA20LowerSigma
2020-01-14,0.10988214053132585,-1.208797865278751,1.6759840826958388,0.4469269576030488,Standard_range,NearSMA20UpperSigma,2.4793364003288016,3.3057818671050754,0.8333325054910962,4.166662527455388,Standard_range,BelowSMA20UpperSigma,-0.03500144367972448,-0.233370159778076,0.8235258214613971,0.5882337981579628,Standard_range,AboveSMA20LowerSigma,-0.21728407845001516,0.01671121716064115,0.03343998880528927,0.050156794195078166,Standard_range,NearSMA20LowerSigma
2020-01-15,0.0,-2.4471559394392393,-1.208797865278751,-3.6263726359620065,Standard_range,NearSMA20UpperSigma,0.0,0.0,3.3057818671050754,3.3057818671050754,Standard_range,BelowSMA20UpperSigma,0.11696174304746332,-0.8187098931609891,-0.233370159778076,-1.0501694283532763,Standard_range,AboveSMA20LowerSigma,-0.4344891725772481,-0.7352918208339206,0.01671121716064115,-0.7187034798862234,Standard_range,NearSMA20LowerSigma
2020-01-16,0.7981720772004212,1.4823164650067877,-2.4471559394392393,-1.0011140698471512,Standard_range,AboveSMA20LowerSigma,0.7999992370605469,0.7999992370605469,0.0,0.7999992370605469,Standard_range,NearSMA20UpperSigma,0.8254680820133184,0.880499287480857,-0.8187098931609891,0.05458065954405024,Standard_range,AboveSMA20LowerSigma,0.5892230052698051,0.16834759520591466,-0.7352918208339206,-0.5681820717261257,Standard_range,NearSMA20LowerSigma
2020-01-17,0.8988755857864374,-0.224713538725501,1.4823164650067877,1.2542719604976593,Standard_range,NearSMA20UpperSigma,0.0,0.7936500427734288,0.7999992370605469,1.5999984741210938,Standard_range,NearSMA20UpperSigma,0.33510148062546624,-0.5221277788343743,0.880499287480857,0.3537741772741065,Standard_range,AboveSMA20LowerSigma,0.26890730657497375,-0.6386572573365283,0.16834759520591466,-0.4713848262649478,Standard_range,NearSMA20LowerSigma
2020-01-21,-0.33783482640281676,-1.463965233846202,-0.224713538725501,-1.6853890444890158,Standard_range,AboveSMA20LowerSigma,0.787400835704065,-1.57480167140813,0.7936500427734288,-0.7936500427734288,Standard_range,NearSMA20UpperSigma,-0.5092090271005341,-1.4884491104381445,-0.5221277788343743,-2.0028052829931084,Standard_range,NearSMA20LowerSigma,-0.558183393639147,-1.7929593669563975,-0.6386572573365283,-2.4201657591747634,Standard_range,NearSMA20LowerTwoSigma
