,COIN,MARA,RIOT,MSTR
COIN,1,0.4185872510275088,0.3780541668697227,0.7830260294645772
MARA,0.7674628468519963,1,0.7472556490086021,1.6031687929820013
RIOT,0.686514167281091,0.8790575311008093,1,1.2819240996075334
MSTR,0.46560691247506386,0.4915053708490958,0.3881746831575902,1
