,RIOT,COIN,MARA,MSTR
RIOT,1,0.3434862268419203,0.7928151921572559,0.8132141711788455
COIN,0.8764765112922993,1,0.8556490339185262,0.8433648800492781
MARA,0.8277420191537159,0.362684944993704,1,0.8487136213777394
MSTR,0.8008262193375256,0.3976870600077503,0.8731614841493248,1
