Date,%Gap_VALE,%Gain_VALE,%YesterdaysGain_VALE,%2DaysGain_VALE,NearSigmaFlag_VALE,NearBollingerBandsFlag_VALE,%Gap_EWZ,%Gain_EWZ,%YesterdaysGain_EWZ,%2DaysGain_EWZ,NearSigmaFlag_EWZ,NearBollingerBandsFlag_EWZ,%Gap_XLE,%Gain_XLE,%YesterdaysGain_XLE,%2DaysGain_XLE,NearSigmaFlag_XLE,NearBollingerBandsFlag_XLE,%Gap_BBL,%Gain_BBL,%YesterdaysGain_BBL,%2DaysGain_BBL,NearSigmaFlag_BBL,NearBollingerBandsFlag_BBL
2019-01-30,8.536590026028332,9.668995249239636,2.4999976583889154,12.410717562449278,Above_upper_sigma,NearSMA20LowerSigma,1.5884034604504125,2.6703496410768444,1.3296004409281001,4.035455062607024,Standard_range,NearSMA20UpperSigma,0.6240988624950318,1.4082208829915968,0.3049798454784295,1.717495518342969,Standard_range,NearSMA20UpperSigma,1.4149863180588527,3.0851264150482427,0.9838416424305321,4.099320815871644,Standard_range,NearSMA20UpperTwoSigma
2019-01-31,0.3971420979259137,-1.191426293777741,9.668995249239636,8.362370003718333,Standard_range,NearSMA20LowerSigma,1.5919348059662028,1.7264584845456166,2.6703496410768444,4.442910603567865,Standard_range,NearSMA20UpperTwoSigma,0.15780699148480334,0.6469936157846834,1.4082208829915968,2.0643255979853827,Standard_range,NearSMA20UpperSigma,0.06751258983189033,1.2151236098436866,3.0851264150482427,4.337738124354705,Standard_range,NearSMA20UpperTwoSigma
2019-02-01,0.24116308406325068,1.0450170323632293,-1.191426293777741,-0.15885986911254307,Standard_range,NearSMA20LowerSigma,-0.6612282215632053,0.06612870773742875,1.7264584845456166,1.7937288769684985,Standard_range,NearSMA20UpperTwoSigma,1.081847686755082,1.7403584691065626,0.6469936157846834,2.398612093078133,Standard_range,NearSMA20UpperTwoSigma,-0.578030956378877,0.20008926968391863,1.2151236098436866,1.4176442114842984,Standard_range,NearSMA20UpperTwoSigma
2019-02-04,-3.500394519217652,-3.3412894708890617,1.0450170323632293,-2.3311894825971824,Below_lower_sigma,BelowSMA20LowerSigma,-1.453744108435539,0.13215320831993846,0.06612870773742875,0.19836930726626276,Standard_range,NearSMA20UpperTwoSigma,-0.6780743497378446,0.2311627789949328,1.7403584691065626,1.9755443091031555,Standard_range,NearSMA20UpperTwoSigma,-0.7765664000243762,0.022192447965819227,0.20008926968391863,0.2223261223567977,Standard_range,NearSMA20UpperTwoSigma
2019-02-05,-0.24691139023112624,-0.3292178033653648,-3.3412894708890617,-3.6595071544542876,Standard_range,NearSMA20LowerSigma,-0.6159234160488832,-0.5499340189942725,0.13215320831993846,-0.4185075661240778,Standard_range,NearSMA20UpperTwoSigma,-0.07688045980004747,0.15374918928886513,0.2311627789949328,0.38526737918244025,Standard_range,NearSMA20UpperTwoSigma,-0.3327451636782616,-0.02218752401109816,0.022192447965819227,0.0,Standard_range,NearSMA20UpperTwoSigma
2019-02-06,-2.14698003780833,-6.193228912161553,-0.3292178033653648,-6.50205750334491,Standard_range,BelowSMA20LowerSigma,-2.698512343975841,-4.158366050628063,-0.5499340189942725,-4.685431800075623,Below_lower_sigma,BelowSMA20UpperSigma,-0.47589432222655575,-0.7368678723312052,0.15374918928886513,-0.5842516114221794,Standard_range,NearSMA20UpperTwoSigma,-1.1981382719852773,-0.621253120019501,-0.02218752401109816,-0.643302803345425,Standard_range,NearSMA20UpperSigma
2019-02-07,-0.7922464932529639,-1.672531568006021,-6.193228912161553,-7.762176771532796,Standard_range,NearSMA20LowerTwoSigma,0.16155017739706126,-0.6462095134126264,-4.158366050628063,-4.777703807019009,Standard_range,AboveSMA20LowerSigma,-0.6186228011510403,-2.211574449246476,-0.7368678723312052,-2.9321459399884984,Standard_range,NearSMA20UpperSigma,0.022322664275135143,-0.7144444927065954,-0.621253120019501,-1.331259104024349,Standard_range,NearSMA20UpperSigma
2019-02-08,-1.7009895502225911,1.9695637021141676,-1.672531568006021,0.26409055943829923,Standard_range,NearSMA20LowerTwoSigma,0.6039538695430222,0.046458671586813965,-0.6462095134126264,-0.6000510621814117,Standard_range,AboveSMA20LowerSigma,-0.26885682457068066,-0.4586445004378598,-2.211574449246476,-2.660075685099778,Standard_range,BelowSMA20UpperSigma,-0.35979276595481857,0.20238396698309696,-0.7144444927065954,-0.5135064468297302,Standard_range,NearSMA20UpperSigma
2019-02-11,0.6145714900285776,-1.49253793827676,1.9695637021141676,0.4476292783648257,Standard_range,NearSMA20LowerSigma,-0.18573953314198732,-1.346640400434275,0.046458671586813965,-1.3008073600885541,Standard_range,AboveSMA20LowerSigma,-0.47664322149068694,0.476649282338102,-0.4586445004378598,0.01581865618042197,Standard_range,AboveSMA20LowerSigma,-0.6283720497413747,0.08976009783977483,0.20238396698309696,0.2923257248696478,Standard_range,NearSMA20UpperSigma
2019-02-12,0.8021403783061027,5.6149741483718465,-1.49253793827676,4.038630590706204,Standard_range,NearSMA20LowerSigma,1.6945101849001376,2.847726610201249,-1.346640400434275,1.4627375727400864,Standard_range,AboveSMA20LowerSigma,1.3440775408980596,1.2650208978930917,0.476649282338102,1.7476998932624281,Standard_range,NearSMA20UpperSigma,0.3811703799524298,0.7623322067716525,0.08976009783977483,0.8527765747460897,Standard_range,NearSMA20UpperSigma
