,QQQ,DIA,XLF,TLT
GDDY,0.762507584289354,0.6138666711347209,0.24095196733597848,-0.041462568885500574
ZM,0.8754826173453145,-0.9549270684962813,-0.7993018149639746,0.4026818783564322
DOCU,0.9172924719181168,-0.11522099666808061,-0.21646819531851955,0.09546458826483545
NTNX,1.1460344696264182,0.958232121001029,0.5549068775290386,-0.1764119145162216
CARG,1.1426972433925384,1.1451967218379178,0.6486381326597687,-0.4043270008239535
ADBE,1.036170563376813,0.6232949771612885,0.2830748082949246,0.02760287962361272
AMZN,0.8374860215024731,0.4669895692807184,0.24458980983507064,0.007493519190023438
FTCH,1.6220443832685736,1.1831213679371246,0.6257232532706121,-0.3309754799362996
DDOG,1.1572595643848178,0.7952924681456817,0.5405788479416532,-0.12422667720686591
TEAM,1.1526416814466893,0.5698813372354742,0.3011014930181694,0.054798673383878234
BIGC,1.2719154690663095,1.3468277812398737,0.73971887086884,-0.23467980423083898
TWLO,1.259899022675799,0.7047650162515399,0.2985651299310101,0.1273821186320616
ASAN,2.0752010393433387,1.3931991198196814,0.5544340721256418,-0.19218740271859958
TDOC,1.0634298345218254,-0.5315227415487778,-0.4461457752722603,-0.07634014083979154
BILL,1.4614465280009694,0.7212678249915201,0.29588284933968556,0.19727531138929713
PLAN,1.0061940283660844,0.6286459042508299,0.2980891910266136,0.07026596513377914
ABNB,1.325156225110883,1.9036685319045694,1.1271750366803714,-0.5797817237022991
PANW,0.7205003883311517,0.5791242655204143,0.2928595390789893,-0.056700198304496845
INTU,0.7705796171887068,0.5893916998016525,0.4811787817889565,-0.0010650222170678874
EBAY,0.7736897818762857,0.559035571601229,0.325762944748327,0.13400479299773455
CERN,0.18782228798996753,0.19105393899150072,0.07632277029119953,0.054091926362017546
DOCS,1.6311031130163776,1.2550565697835199,0.6794824741593369,-0.11454388417038834
SNOW,1.1939709621111576,1.0953763224993376,0.5916974009806972,-0.29087052983556566
PLTR,1.1998376165809623,1.2594185611511293,0.7100743243888016,-0.10519926042456573
XM,1.2136762137834094,1.1158092763188536,0.6580254603218028,-0.19789296284086835
LYFT,1.2179318934577794,2.024973613657016,1.2381096721858547,-0.3817020148111869
NUAN,0.039737566280539344,0.03625309898037124,0.012686332926850674,-0.005352294292088456
DOCN,2.310163712724964,2.1315244177560926,1.0978780744383498,-0.35477856479304576
NET,1.435229001617515,0.7059815691759455,0.3877966208408854,0.2894581623848299
WDAY,0.710232372476394,0.5491815857900809,0.2196365729945842,-0.06883379847952302
DBX,0.8804278510771821,0.7732664821570789,0.45497172242052347,0.044154429207896764
CHWY,0.7151341951821535,-0.059943280760819784,-0.11957903191551696,0.06050395344706402
AKAM,0.5162945671722068,0.3968867158045608,0.19986215161380683,0.0194195130533205
FSLY,1.1153530213840885,0.7933609354936987,0.3412781155050773,0.16998109609653458
S,2.3082508457077426,1.948720028005729,1.0920579890131878,-0.11257477705426312
COUP,0.7834181868180194,0.4621911116201919,0.13774437071422121,0.21013167406116795
SPLK,1.0032798748929712,0.5920629534478072,0.27112508971003796,0.0471433464042768
U,1.6650655595845085,1.3225676926025784,0.7843263838863814,-0.2624688165060377
CDAY,0.9196162178533374,0.7622560549887735,0.39784108998323414,-0.11041803073877456
SQ,1.8550840341985686,1.2744602728607268,0.561378313065754,-0.28139947354465383
ETSY,1.2470235721383733,0.31973728704029103,0.13088925166540288,0.07487821608434729
PD,1.5569480488856324,1.1402252284442072,0.637451984106357,-0.2532295931069898
CRM,0.8572595303110249,0.6289262234568406,0.1039430668433915,-0.03110941328046252
MQ,1.9500595415048771,1.623569448857584,0.7498326752294402,-0.664444412921481
DASH,0.9223555960074502,0.4817670453988514,0.2770519125044287,-0.1589142711262207
BMBL,1.7182621879162396,1.4603174698482595,0.8494141577452045,-0.6557212043912586
UBER,0.9978696231540904,1.730664505469052,1.1671250910977216,-0.41003656995926957
ANGI,1.298208450207744,1.2011780605723605,0.6487905313248258,0.08666326982027407
SE,1.4175506347214488,1.009421922011602,0.46592156317508765,-0.2499328035544425
NOW,0.9211371315899106,0.5760163455537467,0.2550083355824395,-0.15406683203030727
ZS,1.1899289014693566,0.617700249611925,0.5287394871517279,0.09050482339310426
VMW,0.6784460458815489,0.6921531254047891,0.4110128687700661,-0.08049818202639906
BOX,0.6721855323496924,0.6873765715132679,0.817366986869551,-0.07368300976644611
SPOT,0.9972496951800784,0.7218778597281569,0.38499065366168944,-0.16399163694817734
CRWD,1.0236910097776486,0.36625305613503023,0.09207061593492512,0.2858769994766806
RNG,0.8101526200130026,0.05637868272899393,-0.04827353198333999,0.08699299874147401
