Date,%Gap_FCX,%Gain_FCX,%YesterdaysGain_FCX,%2DaysGain_FCX,NearSigmaFlag_FCX,NearBollingerBandsFlag_FCX,%Gap_XLE,%Gain_XLE,%YesterdaysGain_XLE,%2DaysGain_XLE,NearSigmaFlag_XLE,NearBollingerBandsFlag_XLE,%Gap_CPER,%Gain_CPER,%YesterdaysGain_CPER,%2DaysGain_CPER,NearSigmaFlag_CPER,NearBollingerBandsFlag_CPER
2019-01-30,1.6267950181512973,7.846896301103369,1.6536972831691972,9.630357495217016,Standard_range,NearSMA20LowerSigma,0.6240988624950318,1.4082208829915968,0.3049798454784295,1.717495518342969,Standard_range,NearSMA20UpperSigma,1.763663921362966,2.1164056761169565,1.0095016315532546,3.1472724575008977,Above_upper_sigma,AboveSMA20UpperTwoSigma
2019-01-31,-0.3549326876893598,3.283051202577341,7.846896301103369,11.38756512705908,Standard_range,AboveSMA20LowerSigma,0.15780699148480334,0.6469936157846834,1.4082208829915968,2.0643255979853827,Standard_range,NearSMA20UpperSigma,0.5756964265380372,0.0,2.1164056761169565,2.1164056761169565,Standard_range,NearSMA20UpperTwoSigma
2019-02-01,-0.687284547649918,-1.1168394382006361,3.283051202577341,2.1295453537700006,Standard_range,BelowSMA20UpperSigma,1.081847686755082,1.7403584691065626,0.6469936157846834,2.398612093078133,Standard_range,NearSMA20UpperTwoSigma,0.4605637296537136,-0.2878591939744916,0.0,-0.2878591939744916,Standard_range,NearSMA20UpperTwoSigma
2019-02-04,-0.6081724335928664,3.040829025503952,-1.1168394382006361,1.8900284094982356,Standard_range,AboveSMA20LowerSigma,-0.6780743497378446,0.2311627789949328,1.7403584691065626,1.9755443091031555,Standard_range,NearSMA20UpperTwoSigma,-0.1732031167751095,1.270214922514511,-0.2878591939744916,0.9786992981023255,Standard_range,NearSMA20UpperTwoSigma
2019-02-05,0.33726781628113595,0.08431896434504324,3.040829025503952,3.1277119853908033,Standard_range,NearSMA20UpperSigma,-0.07688045980004747,0.15374918928886513,0.2311627789949328,0.38526737918244025,Standard_range,NearSMA20UpperTwoSigma,0.6271305431093391,0.5701166984123118,1.270214922514511,1.847573328305803,Standard_range,NearSMA20UpperTwoSigma
2019-02-06,-0.08424792736520673,0.33698367513626415,0.08431896434504324,0.42158678062619415,Standard_range,BelowSMA20UpperSigma,-0.47589432222655575,-0.7368678723312052,0.15374918928886513,-0.5842516114221794,Standard_range,NearSMA20UpperTwoSigma,0.7936581737028082,0.22676256752490148,0.5701166984123118,0.7981720772004212,Standard_range,NearSMA20UpperTwoSigma
2019-02-07,-0.5037738598747182,-0.4198168881230312,0.33698367513626415,-0.08424792736520673,Standard_range,BelowSMA20UpperSigma,-0.6186228011510403,-2.211574449246476,-0.7368678723312052,-2.9321459399884984,Standard_range,NearSMA20UpperSigma,0.5090506280225757,0.2262387301373593,0.22676256752490148,0.45351432241545603,Standard_range,NearSMA20UpperTwoSigma
2019-02-08,-0.08431092324600623,-2.1079258620319488,-0.4198168881230312,-2.518893321397057,Standard_range,BelowSMA20UpperSigma,-0.26885682457068066,-0.4586445004378598,-2.211574449246476,-2.660075685099778,Standard_range,BelowSMA20UpperSigma,-0.16929334344988792,-0.7900643062831747,0.2262387301373593,-0.5656130075996191,Standard_range,NearSMA20UpperTwoSigma
2019-02-11,-0.9474561578818146,-0.689060517413921,-2.1079258620319488,-2.7824614945942505,Standard_range,AboveSMA20LowerSigma,-0.47664322149068694,0.476649282338102,-0.4586445004378598,0.01581865618042197,Standard_range,AboveSMA20LowerSigma,-0.6257145098347258,-0.8532401546145848,-0.7900643062831747,-1.6365633149892744,Standard_range,NearSMA20UpperSigma
2019-02-12,0.1734645119416487,-0.3469207526401188,-0.689060517413921,-1.0335907761208816,Standard_range,AboveSMA20LowerSigma,1.3440775408980596,1.2650208978930917,0.476649282338102,1.7476998932624281,Standard_range,NearSMA20UpperSigma,-0.6884729611723792,-0.401604667806188,-0.8532401546145848,-1.2514181701322438,Standard_range,BelowSMA20UpperSigma
2019-02-13,4.61271276939225,6.962577951879369,-0.3469207526401188,6.591502571405436,Above_upper_sigma,NearSMA20UpperSigma,0.40599958231329103,1.2492120720274877,1.2650208978930917,2.5300357636907305,Standard_range,NearSMA20UpperSigma,0.0,-0.05760500305439459,-0.401604667806188,-0.4589783264794262,Standard_range,BelowSMA20UpperSigma
2019-02-14,-1.2205013750680047,-1.057771479612903,6.962577951879369,5.83115830844567,Standard_range,NearSMA20UpperSigma,-0.3547127398658714,0.35472450636026087,1.2492120720274877,1.6083678397436412,Standard_range,NearSMA20UpperSigma,-0.2881910277222949,0.057638205544458976,-0.05760500305439459,0.0,Standard_range,BelowSMA20UpperSigma
2019-02-15,1.8092127449790145,0.9868411765204126,-1.057771479612903,-0.0813688276067997,Standard_range,NearSMA20UpperSigma,1.0450289048178214,1.6136515393918645,0.35472450636026087,1.9741000632096077,Standard_range,NearSMA20UpperTwoSigma,0.34561903129545885,1.3248821091583496,0.057638205544458976,1.383283952976107,Standard_range,BelowSMA20UpperSigma
2019-02-19,2.850166034857418,6.596094765718016,0.9868411765204126,7.648028921428843,Above_upper_sigma,NearSMA20UpperTwoSigma,-0.4990953075417808,0.3024757107296491,1.6136515393918645,1.9210081540839892,Standard_range,NearSMA20UpperTwoSigma,1.0233104241860913,2.1603135728835965,1.3248821091583496,3.5138172900708002,Standard_range,AboveSMA20UpperSigma
