,QQQ,XLK,DIA,XLF,SPY,TLT
NTNX,0.8393015710727468,0.8181936642118204,0.6006347884601065,0.20929446992052655,0.8432731768719623,0.20714985849324077
APPS,1.7498331589883842,1.6079584961775872,1.2838669050698692,0.48160251256150927,1.7802495105777474,0.40299889607303674
ORCL,0.24032704647456646,0.24268886464801157,0.41453567093762533,0.24116185777631963,0.380303756332154,-0.040120175685935
FOUR,0.8457547651318977,0.7603294990045956,0.9388283040471366,0.5421936732175128,1.0302361405438567,0.011440042631235896
CRWD,1.0214644807265112,0.9790535198462663,0.8538483204586744,0.17305185189923752,1.1631580774876016,0.08416182858543683
EBAY,0.47773063514778935,0.4430792529308664,0.46709841009924347,0.135152449193858,0.5906020591555057,0.13250097913291334
ALIT,0.14432894158569273,0.15554556785790932,0.3408917548387906,0.2145195173726861,0.2701133428552895,-0.0034687195634652544
MTTR,0.5983797360538252,0.607675442978254,0.7947918382436414,0.4761931152986111,0.7327855436404671,0.4233577577695686
NLOK,0.10790374868922717,0.11506080815006824,0.3561288506918832,0.16534847937093436,0.22787017858689415,0.09652163231426193
DDOG,0.8239635441392635,0.7529117375414547,0.3664951328801056,-0.017250128842107106,0.7264253108475083,0.30143719819844705
PROSY,0.9971548517337583,0.8187579104283337,0.9098501678383643,0.33620972364316243,0.9924779482298158,0.24760094153905154
FSLY,0.7388387759663899,0.6614701175451326,0.5994633704161425,0.20587656038302377,0.7030166520252061,0.21839872663710758
NFLX,0.34557031157680934,0.29345879514250345,0.11371790861626203,-0.001001431134244574,0.2135568036381654,0.1615774205906669
FIVN,0.8831417609233644,0.7294059035349191,0.19780477670447177,-0.20251564220100907,0.6485128226140139,0.6060766500878779
GOOG,0.6072282678773678,0.587246201686251,0.4591476161596258,0.14338407277739112,0.6250838169326337,0.18650870273600753
DBX,0.5074933935267282,0.5273406440800114,0.4952149802294994,0.23915065791827295,0.6429232773330371,-0.05982984290706598
GDDY,0.6188522476554051,0.5969482576217465,0.5019522351819435,0.09211730411243871,0.6900838578745293,0.15330629971613854
TTD,1.0569553558131306,1.0403893178929071,1.0119087472152568,0.3384996861133254,1.2530451648816834,0.2054742193582113
SPLK,0.680192026089857,0.6531025113303893,0.5263760826638356,0.09609202984394313,0.7009086351167839,0.19623977216935656
AI,0.9986835634106518,0.9126258728665206,0.82989530227223,0.1565490901561121,1.1285934393270924,0.14869154032604376
FISV,0.3362214582032778,0.3349800400147188,0.5334439478921404,0.24932785273056393,0.503455643478268,0.017882770165707912
ETWO,0.5188321628125051,0.5353661011874901,0.5805976323719173,0.19960028147843123,0.6769329379436272,0.14344576499876793
ROKU,1.0513450668100273,0.9508305079973045,0.6393342839885532,0.12964680097951256,1.0128111010607703,0.40513866494722306
SNOW,0.585892366191044,0.563872592873366,0.6083147226810486,0.18377115043279557,0.6823220406288203,0.07654637559613754
ZS,0.8684732370793804,0.8565619810465566,0.4219090127038768,-0.06004443406779679,0.8668349141990122,0.32138961482501566
MSFT,0.4934702233211695,0.4930560600242992,0.36639969718297405,0.09081961622532127,0.49018142960864874,0.19847124006577474
PLTR,0.939240083209684,0.8695354999244653,0.6620575211515094,0.14769739328068332,0.9853551713613724,0.30880599521610796
SQ,1.1082072144813968,1.0837277412801134,1.0424467517465668,0.34114717064246136,1.2895443020240194,0.18834921012037364
CTXS,0.24266597255603112,0.2495414632565571,0.15381529902666413,-0.0553666993507906,0.2574608331356557,0.1477328989741197
OKTA,0.8889213817495526,0.8638272851198745,0.5207572367725463,-0.021789764578385547,0.9095967572867382,0.38649042990500004
CDNS,0.6833154788065517,0.6733628325168715,0.41745994089264693,0.041859780789090036,0.631836549526147,0.32949531470884763
SE,1.0890581689423713,1.033359648168925,0.8947276107526743,0.2572522720964583,1.2336785389563796,0.10005565051573052
MCFE,0.2744834290501226,0.26361925871499986,0.34471474959438797,0.16868273019318133,0.3795805652550644,-0.0829369413177603
CTSH,0.391407585316711,0.3924525804492277,0.5438507228161035,0.22153485269837697,0.5631841880885142,-0.0039765833098588995
GSKY,0.4959960957336567,0.41587887222003156,0.7844564926617493,0.3884798477218411,0.7468414129478651,-0.06905901654497063
UBER,0.24972909963955703,0.32343887191014037,0.5557144177997135,0.3446790381009203,0.49135533147619764,0.058316461858570076
FTCH,1.0415809087278396,0.9830970244972254,0.9896756967934279,0.32255441090422543,1.3108884025484067,0.01297457807466485
LYFT,0.46975217066516517,0.5025696148990217,0.8728162643360416,0.5334882601041194,0.8170315505237796,-0.16592959627208578
COUP,0.7944789285545872,0.7329351658968881,0.3217342345363558,-0.0376247038745033,0.637452888616586,0.29075816912530517
SWCH,0.33800364149423784,0.3278663594533215,0.21630036047136236,0.03892271557530038,0.3221632012027197,-0.493982525414974
VMW,0.3782323545958044,0.38303784216175024,0.49129863474238106,0.21697375855698253,0.5295920921089048,-0.028345391102736747
BSY,0.2818702715935866,0.27954267184610676,0.59397948084675,0.2571995586754017,0.5183113610397858,-0.1143858244294049
TTWO,0.2714467948604176,0.2560502972147694,0.11896650939970345,0.0071217897453705065,0.2694415557843943,0.1280377510615898
ADBE,0.6009056688413448,0.5925312597244078,0.2285002324652579,0.06802891348485576,0.4683870963842409,0.3112697559757744
FIS,0.27136362661824165,0.2722138142308314,0.5026340060574345,0.29937871215701733,0.4518669861690708,-0.0548186882407221
SNPS,0.693349452381076,0.6751803843479858,0.528688899990354,0.08056292567581701,0.7242966277633845,0.30321315384837944
WDAY,0.7298169842398388,0.7057658584389667,0.4789380556617775,0.05934803399112423,0.6887892923547684,0.3906822049724402
