,CTXS,FLT,GSKY,ETSY,SABR,TTWO,CDNS,TWTR,PANW,GOOG,CERN,SQ,BSY,DNB,FIS,RIOT,INTU,CRWD,ZI,CHWY,AFRM,UBER,FSLY,ORCL,PROSY,FISV,SNAP,XM,SE,FTNT,MSFT,PAYO,SWCH,WDAY,CDAY,PINS,LYFT,EA,NET,SPOT,ADSK,AMZN,APPS,DDOG,SNPS,LAZR,SPLK,ATVI,CRM,OKTA,ZNGA,RNG,ADBE,NCR,FEYE,MDB,COUP,PLAN,GDDY,NOW,CTSH,NLOK,ACN,ALIT,FIVN,XRX,NTNX,TEAM,AKAM,DBX,AI,BILL,ASAN,BOX,PLTR,GOOGL,IBM,RXT,VMW,DXC,PD,BMBL,SNOW,FOUR,ZM,NFLX,DT,DOCU,ZS,U,SFIX,TME,BIGC,MTTR,SMAR,VEEV,TWLO,EBAY,ROKU,MCFE,FTCH,ETWO,ZEN,TTD
CTXS,1,0.13893966496867735,0.17517185317342784,0.33053208501497455,0.3537370451289227,0.32458389798322856,0.46847679119549335,0.40252286485910477,0.23070320922270518,0.512483867755956,0.2722888929084156,0.42287791081292836,0.15927224605749712,0.06292131197606553,0.33392557362909925,0.17743101414010173,0.38844949822950364,0.35046470710128497,0.19665880806537195,0.259797979161629,0.21089150293276204,0.3341136302694949,0.1352628683417281,0.2193878707747197,-0.1880183882130183,0.42540468686139277,0.24969064758791912,0.08255997957473009,0.3535620653600402,0.4384742724299884,0.43731082880231426,0.092829168107487,0.145629812826251,0.3646232390331432,0.34024285349778494,0.13777496800919686,0.28650291331930355,0.4037986708001481,0.3321665521588542,0.18605805549919355,0.4155146405080162,0.2506005335630048,0.3630935953374183,0.3200352173104301,0.5166660231148342,0.2837818672881461,0.34324748312899556,0.329641652579284,0.40332701298801216,0.396375562301296,0.1163444316122846,0.375445009654065,0.49911619065342894,0.30200108546930754,0.23531750295580095,0.3021753856075939,0.3277516232287522,0.2333205705449707,0.2966636841407744,0.6692753566711278,-0.4946570312377866,0.12958483181168534,0.3097546474291923,0.10875440143127892,0.24944385908611943,0.24293342447682423,-0.06039265854043895,0.27495638063873823,0.09217796515575259,0.427623790514915,0.3349765721699569,0.3353430715138102,0.27487203744920413,0.18665530643048442,0.20768903580906017,0.5041836380383721,0.08981636587805679,0.25805061633827003,-0.044716377087630814,0.1274804631493791,0.3860167124467446,0.41093633225981185,0.3080108721570178,0.2873782742637002,0.24634395968882064,0.004831641448210728,0.4587677173065043,0.4106419801868287,0.30638784790530027,0.3165713198640073,0.25518511883355866,0.11156921698185164,0.3706721290562307,0.22479973688802293,0.4227470791243057,0.30133485581699143,0.40274698504609685,0.731047929142774,0.02751063991538119,0.047154602585852086,0.3850069100284482,0.22397340401689544,0.42861102091768644,0.35427191289978227
FLT,0.04785087787328447,1,0.32035033236005844,-0.08039089588292811,0.7071564966547341,0.09389015483163558,0.39123237326123445,0.36202173651088043,0.22119450666327126,0.4742629387482909,-0.006226270717437959,0.43368328503786335,0.36792007361632756,0.31282368013800366,0.5329277996058094,0.2578798352543866,0.3839174659781377,0.35101437915441175,0.3911799182835694,0.12282572340653576,0.2881043261403039,0.2906156122800551,-0.20109485485977516,0.4899488751848085,0.27348492765982635,0.5874120179859714,0.37428739822164825,0.23268049244730996,0.44153284639849,0.429092567247325,0.44068310402619787,0.34515758830958315,0.08499216191812461,0.39558657467985003,0.18322960588355425,0.4130112610388967,0.5651414923779986,0.48059646551259555,0.379263857919794,0.2898889504374193,0.42348209436338136,0.46803679984597957,0.4361193953529843,0.5888830327747112,0.36831329365259946,0.37929036913869596,-0.004470259392574105,0.23301342033147918,0.3751482420552324,0.23254228530258747,0.14716834002229828,0.4052842916801229,0.22700582443333406,0.6378075522248599,0.348622236375215,0.14412295998271926,0.11593654272866252,0.25065344580423254,-0.24962979746877548,0.3075611776242409,0.39205219732253244,-0.3150948555063647,0.6756232871955232,-0.12671489215170548,0.16118355078402022,0.7381048463986917,0.4291122221707867,0.024839902180699685,0.39081786917071115,0.4339991225353745,0.4772678753952302,0.22718803064086496,0.33242381971130336,0.1999885231592422,0.24803142901229866,0.49390773251939485,0.4178864290227119,0.2648724371365755,0.38468913029994334,0.3268929822492445,0.2957619666722982,0.6086058637775964,0.3235150932711711,0.4672493968100902,0.25225108267982393,0.18368693816189532,0.47057837685490944,0.38211325712741645,0.18088852710064635,0.10340664905756708,0.3428534477830975,0.14577120104827593,0.5296475202285088,0.39648592114077363,0.20878005913144976,0.23221284432456762,0.4444870294820581,0.29331453719303324,0.002858136329520863,-0.05732658249471611,0.45352639424612884,0.3378967796722884,0.49851153986400754,0.43697787099047286
GSKY,-0.06383103861898197,0.20321369634834566,1,0.20694352646498518,0.48525918553326725,0.04591949218012829,0.3193124735752301,0.4784695320259779,0.2507542988419683,0.38749966550170123,-0.11925289816188378,0.5356558368781463,0.3586569981889098,0.1803156481730606,0.3369556662427851,0.4300180130251787,0.26692795961926635,0.39891579872453486,0.2800976463754511,0.08881676654341897,0.2323963042391234,0.1594551443419839,-0.05767717587215358,0.3359274585690645,0.17652861510202428,0.4767573309610714,0.22781946335482606,0.09547508899748662,0.4930171559077376,0.3672793639455826,0.32451832783805956,0.221398553242193,0.15886153025886723,0.2684332841347985,0.39112135223227684,0.31997482044775166,0.2648893708032543,0.17631092479367577,0.2928357731798214,0.342130614019991,0.3510392260368472,0.24747889175107338,0.44156914634988575,0.2536851393613378,0.2979838907435138,0.11897189234761377,0.1940192421169037,0.2351386683770384,0.4091100097679124,0.18607641568966607,0.12048812769322065,0.0340134762035927,0.2625338139542523,0.35459086378381577,0.2211819477615625,0.18098608012864095,0.21247676713114758,0.11861268633637638,0.07036224976152165,0.33980724308139526,0.22890029211808546,0.13506920545770645,0.02196302180172189,-0.023359128574015894,0.2678367642148535,0.4673636991425076,0.28473397578014387,0.047232377231598476,0.2927007741252391,0.35184456847544493,0.41860765999587035,0.23064792107004906,0.275663281854087,0.24812393955814385,0.2688523417909436,0.29395914008777374,0.16376829848855154,0.2824377771425593,0.3667984887393901,0.10754098773523914,0.3415516637932687,0.34137390489181146,0.2395630790530808,0.3407708179911936,0.21178497882451175,0.0875285400176976,0.49759421438939017,0.3690180968925162,0.2375814449758086,0.3957582660799438,0.3567193681751397,-0.188623422306589,0.44637785790776346,0.4107366919792995,0.16414931799237484,0.3220172553284135,0.14236530705901504,0.24885932894717527,0.20289432374483374,0.08849128120858424,0.30730900070228834,0.23365900375859047,0.4259626347361577,0.1899459989660624
ETSY,0.08530080853270162,-0.12127516833001321,0.28575054800892274,1,0.5406867991688715,0.33119946007355555,0.6095730106326941,0.5621812393637724,0.40314288001449927,0.6102960783787719,-0.091311119614277,0.776108198889492,0.26053073431444235,0.06381470909317064,0.35502448923873997,0.3336448109122202,0.49586275411418945,0.6455847978907107,0.43355004038126943,0.47191398136650253,0.33649137786651223,0.5764864008794939,0.8735751989038176,0.3640616678361944,0.37032662643994024,0.36835570121706934,0.372191040181488,0.3162015739381543,0.6533165351247909,0.6261686351760652,0.6725662679688553,0.3715347272628054,0.1564297347602174,0.5082706289634963,0.5834729175407258,0.6209003616861766,0.5155838071308587,-0.1688332272180522,0.7285833003617893,0.494018072449761,0.5001125801768379,0.6524293755238383,0.6923127318705197,-0.08799207816854288,0.6459204065704274,0.35929355641798427,0.41519551520078424,0.48719508780202886,0.40002141557683263,0.5899889632769603,-0.016277134165094964,0.5119877905462193,0.6748344642668027,0.2916430292978492,0.37421661261868566,0.36132938365663325,0.6693669504360332,0.33654040318925,0.8547688229849365,0.524661796034197,0.5591380573881282,-0.02490168796466273,0.4566958569306578,0.21734226935583187,0.33519762401291686,0.3924077533777994,0.517476441270688,0.12284005418154659,0.33373158803866904,0.7039366102170982,0.5560001475855095,0.4922421498598125,0.42189390986291647,0.3415320461026129,0.5084980987400045,0.598070844006413,0.22503549673844944,0.36670611242645956,0.426060674593951,0.38340187751644783,0.580848967001355,0.5953860447944556,0.5451106877527957,0.5849872752819593,0.4285424766659582,0.4892372666470658,0.7083218539666526,0.6807460481801445,0.4930210399476962,0.521175285382832,0.35089545036965586,0.2591838247206475,0.6297986121071066,0.5097561330588826,0.6396082305041566,0.3997036056953296,0.8725793610839236,0.46318735721856763,0.7369543323054406,0.006953854959399399,0.5169051294578837,0.3483175510561695,0.7083695607934231,0.6098246601128874
SABR,-0.012478845579308026,0.4619248698702444,0.4044399468159328,0.3335122019506224,1,0.017274726636574998,0.3951836250216498,0.38095685258515855,0.1421441458049392,0.509616698794249,-0.056205718292317415,0.507457958043126,0.2681629761833397,0.30227127118567004,0.3215590717594817,0.3924931876878423,0.37529672810371334,0.3837848736577611,0.459073403741821,0.18627186885520564,0.2673023969737344,0.42008651953400106,0.1388496690746516,0.36667604210402566,0.1772200099999033,0.4823464861833583,0.2513115666745019,0.2985639618196245,0.48698468510862036,0.40048849657170343,0.3728973911062576,0.3150901970804417,0.14717753560395902,0.4456820383570868,0.4356626201831501,0.3766656707810853,0.5297491821687629,0.15652093615392537,0.3912336133129215,0.25685001379966377,0.46339999361352124,0.4188020320992046,0.4775402072017883,0.24572441689126895,0.35888477373881905,0.4136781340448274,0.25365807020757275,0.15159635594725707,0.35180488890600387,0.22393566981311835,0.15616603654687317,0.36289440819358315,0.2874562813400968,0.5665859518193229,0.3180353098888623,0.202647185724833,0.37173349292214214,0.22355910172021676,0.18795225450832848,0.33141684271555116,0.3480830846028238,0.1046654307031459,0.48823539339075556,0.30215401072946124,0.16478250038441333,0.6800947559534637,0.31609745048179816,0.06205866834302064,0.302059488248587,0.5305689814967391,0.5126032815094304,0.30033883924936794,0.30026675227616767,0.33986076722255276,0.36344998552381164,0.5290237528148076,0.3377181928528281,0.3341932961711936,0.31453861273893535,0.5691362428418472,0.40494443517736856,0.6258586830395584,0.33380465680463317,0.4392475804237365,0.2592939318382512,0.201352904763558,0.5203547447306687,0.36356647189181934,0.2442375556462227,0.43162254221832563,0.3666583605725106,0.012481661282689618,0.5160433238747704,0.3940138145907801,0.27621284517854106,0.28089866060768903,0.4197647064265758,0.33421300361037526,0.2740141394270123,0.11228584139528587,0.4619872329883635,0.3666931754623748,0.4653712364357875,0.43180367375690454
TTWO,0.05285879899924368,-0.03685842141203366,0.05843731213831178,0.43202580110615185,0.03827518341019093,1,0.3479612208843884,0.4740885052627378,0.3276564051266471,0.4516249310301846,0.004532448356504352,0.4348460679802897,0.0017310452795960248,0.014488000604092761,0.5907456141645949,0.19586535786041792,0.26130777310933284,0.3503756803014913,-0.24711272849146096,0.2609086074031135,0.05513223621560353,0.20139088877120995,0.19568940156436174,0.2811809402933743,0.3884252295286381,0.2178148531543477,0.23206122263968443,0.21149387406861508,0.3828090471396603,0.42627293460855575,0.36087917737105385,0.31634861620092203,0.027551875496221026,0.11734563996178421,0.38818224030559234,0.25686626413987207,0.16339634936300784,0.35511912708716653,0.4249347277732301,0.1579635341829485,0.3337379661084511,0.3418069581247582,0.42912273039650234,0.39154577485637554,0.41794431990658276,0.22474754951654385,0.2771447834892527,0.43797175653368847,0.4532061143626628,0.5392994462687982,0.24969542619805082,0.4614592578519526,0.4011480785388515,0.16019292419260733,0.12998273256687992,0.2770334232422424,0.4184163185616955,0.3371382455904401,0.29619978278284104,0.30640254310996146,0.12934851794952715,0.05293163566432664,0.25564870759785613,0.24034698096966187,0.14108070654807417,0.11805677878543953,0.30972977371256705,0.1857239055495418,0.2727984461221038,0.41291320241162194,0.2731674255270906,0.3196980961866692,0.2638676213925583,0.14360204085379757,0.19701748806226577,0.4859472417375657,0.11612756901014722,0.3547294897135524,0.15073215377070748,-0.08734262009250861,0.314174269061239,0.3968836406436258,0.34198133114363505,0.3586268272390263,0.21696918153353015,0.34790625593721947,0.44812837070258044,0.39217253111572714,0.471751995832105,0.436781963578821,0.26295567569235295,0.16932550218510242,0.36557586172593687,0.2300812354690475,0.5712561138900301,0.35521869287669483,0.4536817514322263,0.33778396328249843,0.46961271279997663,0.23854176020315612,0.5407087575447596,0.27509555251839124,0.42849890705834337,0.450010638711382
CDNS,0.11749010906097834,0.282696266446346,0.25243803331457754,0.5416767256582983,0.4820565492198307,0.33428269010536327,1,0.5697451876468658,0.3809193935143789,0.6829775704232709,0.11597849115731101,0.7226037740312355,0.335038447436446,0.24221944416531904,0.414113973898139,0.29592358869999025,0.6545300543977474,0.5630656436927864,0.33607690270516266,0.40730263592903043,0.31812348747715175,0.4679731076129294,0.31014550433557114,0.40040299637852267,0.39744945624141753,0.5642005702969303,0.3998897844792153,0.4118085829244366,0.5532106321435245,0.6289734169950902,0.7844228618483707,0.32191353328124034,0.0703769288571412,0.6823058723530604,0.6807335880342243,0.44367234671380645,0.29082994062198086,0.5189137952431488,0.7091580384105922,0.5298529305329,0.6200979857846972,0.47979871765388427,0.6792621528884103,0.541174536418614,0.7594095311658178,0.39422794578278025,0.5068809965202306,0.4730387409062604,0.5474445182909139,0.6096825028854905,0.2945684499763618,0.5700424289993047,0.7033318117375463,0.34567301354313823,0.40068462813963984,0.4350006304172555,0.5688223612485613,0.43155757545112905,0.41756415424598986,0.588995424053495,0.3448888580195737,0.11771065251740181,0.5030320869067424,0.23372421206950683,0.347726567298585,0.332924665539728,0.572523097788742,0.39945342262982997,0.4635616737254365,0.5710108803906595,0.5668529144866794,0.5348164877358138,0.4730246953000289,0.2520297617359304,0.4616462708743484,0.6428262402259989,0.09693267563187062,0.2896176350229594,0.3781975984753222,0.2249551764277967,0.6083880982365927,0.6182455790480346,0.5318947545466349,0.5794439915889855,0.42372235391416474,0.4134562533595028,0.7492081250634502,0.6708995824125803,0.5413460141161001,0.519091915203957,0.41336157590375144,0.13489625785064624,0.6901274283063427,0.38348914680487317,0.642635001529419,0.5484554684218743,0.7003955308820969,0.4135820408349956,0.5468481665615832,0.19912292818304153,0.6024025314649983,0.39031206286738473,0.7398175945497258,0.5817460647381737
TWTR,0.0692728809734146,0.2646098274819398,0.32913658045914795,0.5212540814177594,0.4767346505772516,0.275467744564197,0.5641842663041698,1,0.3976433553806793,0.5980555135067657,-0.0771279967852818,0.7028572617722051,0.20630807510022592,0.20505515934267718,0.2908448097020754,0.34295403629525684,0.5222802880198079,0.6562512804155548,0.45456543701113866,0.4113995381470241,0.33679189476590343,0.4271867993461017,0.2703921246454725,0.37784096606179257,0.30496427888631183,0.5454261480309516,0.678099406314885,0.25804401327355175,0.6398274638217191,0.6406358896747905,0.6257984343089492,0.3317486073690015,0.13660793744167027,0.5182496672935972,0.6444251942170736,0.5162184643683936,0.3899960308632475,0.38245732630627227,0.6172785778215637,0.5322565942814145,0.5267483531624811,0.20486305046079514,0.644685885783187,0.39388085637417414,0.5716494087309139,0.3164548950115753,0.3766293197959747,0.4114478576994693,0.45846247462256645,0.560811270622956,0.268435376130364,0.5449459822532673,0.6533916761828039,0.35342828144372646,0.3467613775138386,0.3887610136018505,0.6027206264680044,0.3917731589828643,0.3966036207098288,0.4240490621913365,0.22023841578483128,0.01453088256001412,0.38867413768703046,0.1983618675970925,0.06288535607523771,0.4024725431174264,0.5161467874294757,0.34167718108412287,0.3623164443044398,0.6688779630781229,0.442815962204857,0.47062905776757447,0.43922224106336827,0.2905058181955111,0.424127820741997,0.5894863801917654,0.21010111512065394,0.4389981775105682,0.4090841298603166,0.32581022250297104,0.5522081477144887,0.5475308956483546,0.46294703839733153,0.506295859404006,0.4032727899396696,0.31533353218915644,0.67725451003234,0.6366151731399088,0.5378797988903139,0.569825455606233,0.3250163232131623,0.1821634505902354,0.6035338210183196,0.41141046760730876,0.603522314732043,0.4474042879038339,0.6472845537484271,0.3443878867328878,0.5572819250237133,0.2066266639500028,0.5762342338031808,0.3554158311136036,0.6211358903426154,0.6391118569156231
PANW,0.09567294735949311,0.3071314273817751,0.18955279997238855,0.48541091070237624,0.42169455711216125,0.3309944706522303,0.5901207205284005,0.4561332949776407,1,0.6249728472955548,0.16161323134623024,0.6379390452486574,0.2542502191728398,0.11373962990797247,0.3876517777016898,0.2896817267325748,0.5280290281086224,0.6432795467449957,0.39553749863270865,0.4392810915148823,0.32323912468416444,0.40190529778879325,0.24035555829963628,0.26270811205705447,0.37815040160134067,0.4191848666441883,0.3381489292226205,0.23265881534785246,0.5393749683070245,0.5819109281288102,0.6209690436723678,0.23862126836680064,-0.08345206658057668,0.54188065095419,0.6423090078520303,0.3428814613080249,0.4504470672174694,0.3740410995802222,0.674380147145802,0.436101731804231,0.535889272935801,0.4447686784812711,0.6831212304541787,0.5129360489757809,0.5932467205392068,0.28489203026006304,0.4132199192876678,0.4235688411016162,0.4236855599689627,0.5732788633754143,0.4119573904878892,0.5750105304681801,0.6212943695902029,0.3959887700530338,0.3742806776966526,0.32923548461502256,0.49752595443942377,0.26773452903569434,0.3566144668204708,0.5427172046690085,0.2500396442330238,-0.014969833734576199,0.42362026403421504,0.00830511362644518,0.2025659096654456,0.35298140715687826,0.5614811086677891,0.379040816915756,0.33587314740442276,0.49583163603826474,0.5517665932287878,0.5179056209198852,0.4409212397802133,0.26151812402892144,0.4808179693971061,0.60793752337317,0.26473762071093887,0.32065260595472006,0.3657931254262466,0.18080710556168714,0.5090098795464545,0.6137926504045789,0.48506707865517035,0.5587675053172306,0.3081080360832744,0.35253349639214887,0.6482330248099015,0.6012250343521015,0.42219605824896556,0.5295516001173387,0.379071629056712,0.2795086192298116,0.6723660131219831,0.37815359207044874,0.5767101758599953,0.4026864869882229,0.643840172829599,0.3721000491122478,0.5526511195367216,0.08596983652775173,0.5712934741386139,0.3719252018876105,0.6107113323147823,0.479804212883121
GOOG,0.024957288332434074,0.33112920761335946,0.2597930214218408,0.5200136657925849,0.5651162659668837,0.3417402542902628,0.6509583947201844,0.5659348718693799,0.37483963796472247,1,0.02759009564254951,0.7090755353677766,0.41902792185272186,0.22693206297573604,0.5429043127394091,0.28165175575205853,0.6567624764476495,0.5716228789298787,0.331260843243392,0.3197165519185123,0.30020286177253575,0.4452551519322688,0.15098405710141583,0.4332959703443674,0.3997112525125009,0.5451204295562053,0.5285332112570865,0.29707376253047063,0.5851374813153585,0.6415578528891408,0.4652101241339124,0.20632096871766453,0.060211905322563306,0.600834389306568,0.6632457350472366,0.17894861509383678,0.4906343867223012,0.40357269335381907,0.6392958971165995,0.06671162161044702,0.619885440151872,0.5640795236132581,0.670819916046352,0.4196508152767153,0.667012662443963,0.4081781646326138,0.4300855871275652,0.46659973402517174,0.5192656064860537,0.5567084572088674,0.32671428933490226,0.500496031015641,0.662003559311473,0.5147050252356569,0.4279230533590357,0.4018667053520685,0.5632846807369121,0.33275455198667236,0.43654246450593487,0.5061582185915389,0.3292790425116476,0.0807185722221057,0.5395452426592727,0.26263614766893395,0.3432597375028616,0.3978553378346688,0.6028983960079859,0.30942945549694123,0.4418036321729415,0.5693582880794059,0.5844460887240066,0.44481114423685947,0.4148048334255975,0.27758679013183035,0.44264380963914385,0.948160851852564,0.29411343792330097,0.3172361406411679,0.4687033172999808,0.35650270536859446,0.533352294324538,0.667020882972853,0.49756415665647197,0.6144193417893974,0.43319064499285337,0.4345824886566903,0.659991729487801,0.6458501983976827,0.48684309226440164,0.48790035144252897,0.4199649878967315,0.1777879376008658,0.6716560798747829,0.364080189260556,0.5388674699328287,0.5138231647856369,0.6528799712399551,0.33827713536090775,0.5696993541823809,0.13381877746603646,0.6202353751630649,0.3326266608819926,0.6888906945548402,0.6449265297697118
