,DIA,SPY
PG,0.6037225446769637,0.6354840354675142
BA,1.8602594221519013,1.781908685801277
HD,0.9800201140981002,1.0086890451592534
DIS,1.0939493236729496,1.095344172491328
JNJ,0.5960518905965243,0.6315653594426976
V,1.1148742284000503,1.156540529700639
MCD,0.8914769697517672,0.8931186152147932
HON,1.137079228298382,1.147679516572486
MA,1.239890517904218,1.276678215285867
VZ,0.46007672943614464,0.4726792962425238
AXP,1.463007913114715,1.4084939394496945
DOW,1.4884460017542933,1.5065054235401847
MMM,0.7718211813476137,0.7758322299423863
