,QQQ,KWEB,MCHI
NIO,1.7571015103163765,1.0833182141237194,1.2303067075858571
HTHT,0.948265696280194,0.6498950651293595,0.7436577013604421
PDD,1.0220474219994313,0.8382828600325813,0.8756798679427881
IQ,1.1237273950730153,0.7547557978779276,0.7840400484489927
BILI,1.1857397801887166,0.9519305097761465,1.0335180126326673
TCOM,1.0433186864837987,0.6728226673514434,0.8088075964392979
BIDU,1.0869423566413123,0.7461552903169197,0.873742179658868
ZTO,0.7532413486427979,0.47209209148491815,0.5502725715986334
GDS,1.016065831223853,0.7162259259780182,0.786809982583991
QFIN,0.8583683811334418,0.7125325869890482,0.7781906705186725
VIPS,0.8429787512625762,0.6482065042343567,0.7085970623632275
WB,0.9982389373310699,0.6705871437679027,0.8031917417742818
JD,1.132062492635464,0.8288481984393931,0.9221068773014635
BABA,0.9656128114622942,0.7099156636276073,0.816558914536091
