,API,QFIN,XPEV,TUYA,LI,BILI,VIPS,BIDU,CD,BABA,PDD,IQ,GDS,HTHT,JD,DADA,NIO,ZTO,TCOM,KC,WB
API,1,0.4878983345460861,0.4936916897483934,0.2839105307213278,0.49903289095561293,0.5864119043117381,0.52255361748274,0.6162336230842633,0.5769105930672075,0.5332695452386408,0.5638249337481087,0.5478897433019516,0.45283389780801275,0.5097104509565872,0.6121309962838661,0.3452834086708262,0.46855602422381804,0.49123622027403907,0.5576598581485951,0.22797370347874446,0.43756815493024637
QFIN,0.639103947638959,1,0.6392158290561462,0.6276902938821391,0.7122744712109004,0.723698624548412,0.608881272327065,0.6550825326249272,0.5705641498647912,0.6607519729539654,0.621905421749217,0.6947850666078628,0.65616559077647,0.6460945324038951,0.6578753355981076,0.7058270405016912,0.6694928900887323,0.49765225671774294,0.5790854067274916,0.5802879233310931,0.4153621146367266
XPEV,0.49306474305596726,0.5799899309404455,1,0.5863229403359351,0.8760768504404677,0.5535983488600699,0.5149768217702266,0.628374760616544,0.575549571651105,0.4731255769913489,0.6412627785232679,0.562240090360275,0.6879487321433253,0.6602257788205372,0.589186458987083,0.737017782784836,0.8673992676497075,0.4795265688298261,0.4949059071069864,0.5062788676493982,0.2788054283603612
TUYA,0.46826876904985815,0.5435306568995487,0.5838059906417942,1,0.673546624271339,0.5470696369555286,0.6108442601154133,0.6641996106961915,0.4816877531107631,0.6024791142193113,0.5715457025158228,0.4823309513937272,0.6826665478896693,0.6625302223854206,0.6238982204096972,0.784801863419207,0.7046945716430063,0.5312366331076899,0.5314861369275065,0.6212817984101093,0.13883228820788976
LI,0.6464732259952694,0.6865097355190497,0.879131385777762,0.6746090407471356,1,0.6274065141349808,0.5427267824565406,0.6731700429965765,0.6253336804998648,0.539813670669236,0.6523502291565619,0.5952381090474094,0.6963588724802812,0.7628155002239018,0.6345875373535071,0.8057574724067034,0.8646330541792997,0.5433683348966669,0.521735706901143,0.5834995925668642,0.28554403778689214
BILI,0.597769697360717,0.6151468772392549,0.47789855853525787,0.26644895205062946,0.5037741222866114,1,0.6229591388194471,0.852780084551973,0.6220000212056381,0.7745971917366375,0.7885344410546501,0.754693604271182,0.5829047478173331,0.5118938734238283,0.8392925860208174,0.3964982221866105,0.5148218783315323,0.35616698455866963,0.6191248918463589,0.4215018326153692,0.49365013013197084
VIPS,0.5812333641676618,0.5508811537772554,0.4954013771562684,0.41709285436132604,0.4996857681237465,0.7064606910343204,1,0.7553032116288816,0.6522089631490111,0.7815849515351498,0.8616238542767349,0.7224781268307503,0.5920040744104683,0.47455921751027386,0.8018643013322461,0.4415210102256794,0.5238247664576996,0.44180074440368605,0.6978032847076294,0.41209193505644015,0.40667366075341727
BIDU,0.6074295392176629,0.6366336855348917,0.5143455365414988,0.35857469453306307,0.5628658918912409,0.8195216452810091,0.6782399324862664,1,0.6850361468352307,0.7841797994587039,0.8504274517631628,0.7458582532601435,0.6296403592955038,0.523388578796209,0.873573908718479,0.4252504995675441,0.531305477315949,0.5525994303303333,0.6291370686339173,0.32617326129561974,0.4866334860753316
CD,0.41586522445361496,0.528106012106485,0.4802812394891647,0.21063553826881856,0.5117315649450174,0.6595935995866404,0.5488502883709301,0.7151362398780999,1,0.6238155144480281,0.7163721145303324,0.6692085408799118,0.559368493972612,0.5350610576462946,0.7763894112954148,0.3182663128909054,0.3833267428358685,0.4379313609854899,0.6807404595732359,0.39958323428755804,0.4985217209745175
BABA,0.5143771647893747,0.5771894247908965,0.4703539584211238,0.3198325891114466,0.45863324223162033,0.7472474599921348,0.6521367998553027,0.7766020039625013,0.5997995700529376,1,0.7803258734887606,0.7034519096179799,0.5779964373351396,0.4668753039620591,0.8054985024001272,0.3544367009573687,0.4667506622543045,0.45748835171192415,0.5496512741812692,0.41736273339975777,0.5377252185675508
PDD,0.5146848765706331,0.6312066583394881,0.5519770334885801,0.2962072853771388,0.5472383468279912,0.7647664279013764,0.7464845626492204,0.819756772320364,0.6911747674303484,0.7566960388292988,1,0.7191733831130194,0.6083002500964589,0.5276248896327345,0.9004063882688917,0.40466503019248845,0.5359999377155668,0.5121594921844019,0.7106750348400457,0.36742838705691505,0.45050538781501964
IQ,0.46847565309681993,0.584966338103937,0.4908138835092014,0.29965743935680417,0.5347655100377967,0.7517417228396143,0.6961384752630424,0.7632478817347499,0.6408287834722853,0.7777182635999182,0.7834759140389995,1,0.5642937739277305,0.4705946452320958,0.8101511666879004,0.4555772095430526,0.5423526122648503,0.47178913169547143,0.626472971676758,0.37289824823380235,0.5357358917751341
GDS,0.5774702756101376,0.5555613264424591,0.7057625677670194,0.7354410533418937,0.776468753190589,0.7301933659248416,0.6377201033474587,0.8130572927130529,0.6751360542427521,0.6976121005178559,0.7714131143151227,0.7070660680797316,1,0.846491773950459,0.7944716133071851,0.802353056396846,0.7961478817608545,0.21026610376125604,0.586019150132779,0.6526263411908502,0.5122268566712672
HTHT,0.48275145879282216,0.6218805391733266,0.6658423942867603,0.6679550730227277,0.773030319495545,0.6905094279315136,0.5428659137051516,0.705268104358822,0.6525550704161313,0.6478829651411684,0.7118719148751117,0.6189051100319273,0.8047170067468912,1,0.7395020282954909,0.7405248453840945,0.6904858967141623,0.4378704562056009,0.6535537585499835,0.6323742115479818,0.47839216732149636
JD,0.5891482209066038,0.6282310310144698,0.4764556763325198,0.33203050175196613,0.5455772972693824,0.8037029426385744,0.7235354905503377,0.8624377386535955,0.6945749736144693,0.7899074849016343,0.8920573871135021,0.7697990150896029,0.5873973484784522,0.562291168359477,1,0.41589145169457453,0.5471985245424102,0.4684780508101305,0.6589583284395102,0.35386243412523594,0.49437465622952825
DADA,0.5593657007788039,0.5911290939556636,0.7438132527071217,0.7475311431478564,0.8098426529993731,0.7393981294813835,0.6296779362538486,0.7801835505877578,0.581620524169847,0.700628929801747,0.7790279744281116,0.7132073591995532,0.7632023728748393,0.7579809912877986,0.7451349421190606,1,0.8099648948845619,0.5363169895356058,0.6198188344837393,0.7321364429859621,0.4509299175811879
NIO,0.6505518528317736,0.6608271104088664,0.8639673769964314,0.6963269779106487,0.8781116265376027,0.6985848084346701,0.6270259516083154,0.7041953132344226,0.552665246956786,0.6304327113874901,0.7085087489740873,0.6736779745745122,0.7492062145337633,0.7382667983565162,0.7126344863423235,0.8092191457165229,1,0.5072074951539212,0.5493175894326847,0.6646879253256207,0.4399981541949838
ZTO,0.5361209492757744,0.6280090164869112,0.6214498323646952,0.47009052479984476,0.6582347406369481,0.4774462323117419,0.5170200649459267,0.6810499367847874,0.6153581563781154,0.5773108864584379,0.6419563133387564,0.6295234438807453,0.43839243653460286,0.5730679420722312,0.6384537787729843,0.556823838955939,0.6629956727801609,1,0.6694990878069503,0.5187325769057882,0.34459515056019524
TCOM,0.4335073272686007,0.47826334833713074,0.4763079914582943,0.32084297666361267,0.4785885978851597,0.5921023505412076,0.590693630264227,0.6640188347353965,0.6379310142483059,0.5924665463727965,0.717329322154765,0.6311418323766783,0.5396824810921856,0.5314174405968951,0.6880902675663503,0.40136481393173834,0.40940426857332035,0.532127445417386,1,0.4383534286945014,0.37754955354217606
KC,0.4735312181593111,0.6287307321342754,0.6437994759658597,0.6756670150010139,0.7012269937472043,0.6469155394764353,0.584869299452615,0.5701382132598836,0.5959738580840369,0.6651638066640279,0.7025279823475409,0.5377740311281863,0.7030674867216523,0.7260478271327141,0.6930111069259506,0.6795320712354992,0.7272822177010859,0.5109754395245995,0.6156720681809249,1,0.5196602750190277
WB,0.6069161670503902,0.42508521282198786,0.5138303239063153,0.07123337805717189,0.2121323902835678,0.8223181607203635,0.5867034671044636,0.7985130315947924,0.7139626321910704,0.6982608946021737,0.7227962240842155,0.7498491185293918,0.5808811612355015,0.5262323291448542,0.8176088663556889,0.40413463916753467,0.5534384885353074,0.43313206181904057,0.6566979003625646,0.45190051647508134,1
