,XLF,DIA,XLI,XLE,SPY,TLT,QQQ
PBCT,0.9487979818788168,1.2145003209801244,1.0865536250829568,0.6493896027067967,1.182806916899821,-1.163371715225688,0.8522513631492065
ASB,1.1938793327717463,1.5075986049248928,1.359638506137971,0.8799699582715123,1.4859299978302605,-1.5913131936499256,1.0686184276726953
JEF,1.0799278991503016,1.4174450076818181,1.2706133132200579,0.7350559763160577,1.4231919550556555,-1.3115217417093783,1.0874263643239914
RY,0.709485855014546,0.9726904526925307,0.8501112483160773,0.5066841113578919,0.9922366632265079,-0.8154861391066871,0.7899573871133145
CMA,1.344620832136468,1.6916553302320894,1.5103406969681523,0.9234001522080104,1.624390495030214,-1.5676402571406263,1.131927313900724
FHN,1.140357349377649,1.4596420370971879,1.3080045020811075,0.7900596609641948,1.4114820465955855,-1.283592991455406,1.000043441471869
BNS,0.7669308558151556,1.0214022969088445,0.898508876401578,0.5454366950860766,1.0272747815626102,-0.8419654109449276,0.795309993844736
FBP,1.280138280783784,1.6251167325043379,1.4355972122790974,0.8373616492466526,1.572701417102387,-1.4421477736776922,1.13212931092822
FNB,1.221662752559477,1.5315938189082865,1.372702116280293,0.827239765729422,1.4803774509162786,-1.4782653382437463,1.0483802270640115
ISBC,0.8701318975353055,1.0940006694042648,0.9905896216668717,0.5967328010943046,1.0409694847538757,-0.9645608754918208,0.7152193237683913
CADE,0.9782150942795649,1.2668166266478917,1.1420073833058364,0.6902195901082404,1.2423689218533351,-1.256698447955485,0.8892484035048435
JPM,1.1128457939246112,1.4240823802816107,1.238995750441634,0.7318232426531097,1.4042526729455644,-1.3534813814556357,1.0409997097768589
USB,1.1329124410904048,1.44537064597557,1.2786048635023421,0.7661996842741505,1.4162868801853599,-1.3043621765868956,1.0295590552878897
GS,0.9718407380754468,1.2770205215315178,1.1068248503794418,0.6526234742498614,1.278214073846307,-1.2062001213695934,0.9860258800756683
CFG,1.3312120684772177,1.6838831130084395,1.5066195661190935,0.921384060720978,1.6356344521930841,-1.6153165647959622,1.1849675424322363
C,1.3091833954078997,1.6900711296778546,1.5034920720059963,0.8866058514915415,1.6664032056353912,-1.5488724333422095,1.246771118434131
KEY,1.3513300674641615,1.715828752312003,1.5267924307873553,0.9198458703105805,1.669990667216233,-1.5967961155053465,1.207206356572684
ZION,0.9683993152741405,1.2160434794355155,1.0936775237568688,0.667770139311477,1.1665595816215653,-1.246674126835511,0.8115924001922098
HBAN,1.1087941133466996,1.4074777172027346,1.246600801357929,0.7301127332704519,1.3599899926591454,-1.2772053268942332,0.980771279511048
SBNY,1.0223962028154547,1.322137197991883,1.1798404856956872,0.7057323291837916,1.29403623801135,-1.2164062181067279,0.9365584877952752
UMPQ,1.0125022805009043,1.299401967259401,1.1613282998889694,0.7157442881403226,1.2817670827483536,-1.2444687380799249,0.9535522545220423
PNC,1.0994131567936307,1.3912824443017457,1.2371265381460754,0.7414489854306587,1.3651343553709845,-1.3514352557790832,0.9883911414236395
NYCB,0.7988230223606225,1.0193895043349994,0.9137164371989621,0.5471747504816724,1.0025876768317057,-0.9447228605449023,0.7302457515020944
ONB,0.8436867800434605,1.0716009640079613,0.9642137108867946,0.5909979147306967,1.0260554471383367,-1.0718851841189698,0.7179605767243404
MS,1.1244660643288145,1.4905067777176064,1.2962544951412067,0.7669326358574673,1.5058041802004043,-1.401348191152749,1.1853638798635582
STL,1.3374360035626045,1.6842287843165882,1.5286425689015823,0.9252654360602592,1.6226290558913474,-1.5959721823316322,1.1518790587002705
VIRT,0.07870298373526602,0.09915389155671052,0.08526176846696198,0.04557857112945089,0.08832869171191848,0.021922253576740918,0.09084452937208443
VLY,0.9627538369666481,1.235143701559236,1.1156299733016275,0.6904998685671262,1.193126268571134,-1.242074027117486,0.8429392512426582
TD,0.7933770337315952,1.06366781891679,0.9333422429434498,0.5791962194684511,1.0753038968746493,-0.9018614595589141,0.840636995039661
BXS,0.9782278606821821,1.2668421458442374,1.1420343665570893,0.690249277058922,1.2423915585652405,-1.2568467613293721,0.8892668851775011
WFC,1.1127753769453168,1.414231835463024,1.252405139381819,0.7713549706406103,1.3935196739171547,-1.2803460962525883,1.013747116078742
RF,1.2233421618062539,1.5597986333279499,1.396952271139268,0.8564421362881709,1.526705293848065,-1.5084845808268181,1.1260311518657007
FITB,1.1761149852431705,1.5168445760662093,1.3489393480773681,0.8070279776634188,1.4871666238669614,-1.3627539925304217,1.1015491400484352
FRC,0.9036189721630856,1.1738068102556851,1.0474668525976323,0.6142877072065936,1.165510997459945,-1.1410632793088586,0.8601875906928157
