,GDX,GLD
HL,0.8086447742994632,0.7715937693400278
SSRM,0.9137714739952173,0.8230746413234292
KGC,0.9283650473949151,0.8445542207139835
NEM,0.9017136318115753,0.8111999093610054
PVG,0.8682210578038871,0.7959875549942211
WPM,0.8754240380462256,0.7613914847021949
AGI,0.9202423355090008,0.8527213891721358
EQX,0.7307082531812911,0.6855401692277004
KL,0.9218272407945756,0.8078984556713372
AEM,0.9249472944369119,0.8612288896377261
AU,0.8324480967972614,0.7950617413473517
